Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations
1942,8,23312,-179.7,-43.7,13.3,13.3,13.3,13.3,1.0,0.0,6.0,0.0,12.8,12.8,12.8,12.8,1.0,0.0,6.0,0.0,9.37,9.37,9.37,9.37,1.0,0.0,6.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,6.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,6.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,6.0,0.0,56.9,56.9,56.9,56.9,1.0,0.0,6.0,0.0,-156.4,-156.4,-156.4,-156.4,1.0,0.0,6.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,6.0,0.0,6.5,6.5,6.5,6.5,1.0,0.0,6.0,0.0,0.31,0.31,0.31,0.31,1.0,0.0,6.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,6.0,0.0,56.5,56.5,56.5,56.5,1.0,0.0,6.0,0.0,-155.2,-155.2,-155.2,-155.2,1.0,0.0,6.0,0.0,41.3,41.3,41.3,41.3,1.0,0.0,6.0,0.0,-113.6,-113.6,-113.6,-113.6,1.0,0.0,6.0,0.0,1.4,1.4,1.4,1.4,1.0,0.0,6.0,0.0,-3.8,-3.8,-3.8,-3.8,1.0,0.0,6.0,0.0,2146.5,2146.5,2146.5,2146.5,1.0,0.0,6.0,0.0,2145.0,2145.0,2145.0,2145.0,1.0,0.0,6.0,0.0,12.9,12.9,12.9,12.9,1.0,0.0,6.0,0.0,4.41,4.41,4.41,4.41,1.0,0.0,6.0,0.0,-12.12,-12.12,-12.12,-12.12,1.0,0.0,6.0,0.0,990.5,990.5,990.5,990.5,1.0,0.0,6.0,0.0
1942,8,23312,-179.7,-33.7,16.1,16.1,16.1,16.1,1.0,0.0,22.0,0.0,14.4,14.4,14.4,14.4,1.0,0.0,22.0,0.0,7.83,7.83,7.83,7.83,1.0,0.0,22.0,0.0,77.4,77.4,77.4,77.4,1.0,0.0,22.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,22.0,0.0,77.4,77.4,77.4,77.4,1.0,0.0,22.0,0.0,-6.8,-6.8,-6.8,-6.8,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,1.7,1.7,1.7,1.7,1.0,0.0,22.0,0.0,4.4,4.4,4.4,4.4,1.0,0.0,22.0,0.0,3.48,3.48,3.48,3.48,1.0,0.0,22.0,0.0,9.0,9.0,9.0,9.0,1.0,0.0,22.0,0.0,-37.4,-37.4,-37.4,-37.4,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,-20.4,-20.4,-20.4,-20.4,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,-9.0,-9.0,-9.0,-9.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,17.5,17.5,17.5,17.5,1.0,0.0,22.0,0.0,20.0,20.0,20.0,20.0,1.0,0.0,22.0,0.0,2.6,2.6,2.6,2.6,1.0,0.0,22.0,0.0,-2.6,-2.6,-2.6,-2.6,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,1016.9,1016.9,1016.9,1016.9,1.0,0.0,22.0,0.0
1942,8,23312,-179.7,-19.5,24.59,25.0,25.41,25.0,2.0,0.85,12.0,0.5,23.84,25.0,26.16,25.0,2.0,2.4,12.0,0.5,17.37,17.54,17.71,17.54,2.0,0.35,12.0,0.5,82.5,89.6,96.7,89.6,2.0,14.7,12.0,0.5,6.0,6.0,6.0,6.0,2.0,0.0,12.0,0.5,82.5,89.6,96.7,89.6,2.0,14.7,12.0,0.5,6.3,19.9,33.4,19.9,2.0,28.1,12.0,0.5,37.4,46.3,55.2,46.3,2.0,18.4,12.0,0.5,-0.75,0.0,0.75,0.0,2.0,1.56,12.0,0.5,-5.9,-0.3,5.3,-0.3,2.0,11.6,12.0,0.5,1.55,2.22,2.89,2.22,2.0,1.4,12.0,0.5,11.4,16.8,22.2,16.8,2.0,11.2,12.0,0.5,20.4,64.3,108.1,64.3,2.0,90.9,12.0,0.5,123.3,156.7,190.1,156.7,2.0,69.1,12.0,0.5,15.6,49.0,82.5,49.0,2.0,69.4,12.0,0.5,90.4,107.7,125.1,107.7,2.0,36.0,12.0,0.5,1.1,3.4,5.7,3.4,2.0,4.8,12.0,0.5,8.7,15.2,21.7,15.2,2.0,13.4,12.0,0.5,386.5,415.0,443.5,415.0,2.0,59.0,12.0,0.5,385.0,415.0,445.0,415.0,2.0,60.0,12.0,0.5,7.28,7.45,7.62,7.45,2.0,0.35,12.0,0.5,0.88,2.76,4.64,2.76,2.0,3.9,12.0,0.5,5.12,6.16,7.21,6.16,2.0,2.17,12.0,0.5,1013.63,1014.55,1015.47,1014.55,2.0,1.91,12.0,0.5
1942,8,23312,-179.7,-17.5,25.84,26.4,26.7,26.28,4.0,0.53,22.0,0.8,25.29,25.85,26.68,25.98,4.0,0.93,22.0,0.8,18.57,20.09,20.6,19.61,4.0,1.46,22.0,0.8,87.3,96.0,100.0,93.8,4.0,8.1,22.0,0.8,6.0,6.0,6.5,6.3,4.0,0.5,22.0,0.8,87.3,96.0,100.0,93.8,4.0,8.1,22.0,0.8,-36.0,-23.5,-6.5,-21.3,4.0,17.8,22.0,0.8,-11.1,8.1,28.5,8.7,4.0,25.7,22.0,0.8,-0.5,0.3,1.1,0.3,4.0,0.92,22.0,0.8,-2.7,1.4,6.6,1.9,4.0,5.4,22.0,0.8,1.24,1.37,2.23,1.72,4.0,0.85,22.0,0.8,6.6,8.6,12.0,9.3,4.0,3.4,22.0,0.8,-144.8,-96.2,-35.2,-90.3,4.0,71.5,22.0,0.8,-62.9,44.0,115.9,27.3,4.0,114.2,22.0,0.8,-112.4,-76.5,-27.8,-70.4,4.0,55.0,22.0,0.8,-42.2,34.8,92.2,25.4,4.0,84.6,22.0,0.8,-6.8,-5.2,-1.9,-4.4,4.0,3.2,22.0,0.8,-7.2,2.4,6.3,-0.3,4.0,9.5,22.0,0.8,97.5,168.0,309.0,201.5,4.0,132.5,22.0,0.8,95.0,170.0,310.0,200.0,4.0,130.0,22.0,0.8,4.6,5.4,6.72,5.65,4.0,1.28,22.0,0.8,-5.45,-3.79,-1.41,-3.45,4.0,2.65,22.0,0.8,-2.41,1.76,4.57,1.11,4.0,4.44,22.0,0.8,1013.38,1014.75,1015.6,1014.5,4.0,1.33,22.0,0.8
1942,8,23312,-179.7,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,2.0,0.0,26.0,0.5,8.4,9.4,10.3,9.4,2.0,2.0,26.0,0.5,7.08,7.38,7.69,7.38,2.0,0.63,26.0,0.5,54.2,63.3,72.5,63.3,2.0,18.9,26.0,0.5,-241.2,-221.4,-201.5,-221.4,2.0,41.2,26.0,0.5,14.5,45.6,76.7,45.6,2.0,64.5,26.0,0.5,-144.9,-134.4,-123.8,-134.4,2.0,21.9,26.0,0.5,8.7,27.3,45.9,27.3,2.0,38.6,26.0,0.5,-68.6,-61.0,-53.5,-61.0,2.0,15.6,26.0,0.5,4.2,13.1,22.1,13.1,2.0,18.5,26.0,0.5,130.5,373.0,761.0,444.0,3.0,466.0,24.0,0.3,130.0,375.0,760.0,445.0,3.0,465.0,24.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,23312,-179.7,-9.7,28.9,28.9,28.9,28.9,1.0,0.0,24.0,0.0,27.47,28.05,28.63,28.05,2.0,1.2,16.0,0.5,19.35,20.04,20.73,20.04,2.0,1.43,16.0,0.5,84.2,84.3,84.3,84.3,2.0,0.1,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,23312,-179.7,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.0,5.7,5.0,2.0,1.4,16.0,0.5,84.2,84.3,84.3,84.3,2.0,0.1,16.0,0.5,-5.2,-5.2,-5.2,-5.2,1.0,0.0,10.0,1.0,-4.3,-4.3,-4.3,-4.3,1.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,23312,-179.7,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.6,-57.6,-57.6,-57.6,1.0,0.0,10.0,1.0,-48.3,-48.3,-48.3,-48.3,1.0,0.0,10.0,1.0,-41.9,-41.9,-41.9,-41.9,1.0,0.0,10.0,1.0,-35.2,-35.2,-35.2,-35.2,1.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,1.0,0.0,10.0,1.0,-1.99,-1.99,-1.99,-1.99,1.0,0.0,10.0,1.0,-1.67,-1.67,-1.67,-1.67,1.0,0.0,10.0,1.0,1009.32,1009.8,1010.28,1009.8,2.0,0.99,16.0,0.5
1942,8,23312,-179.7,48.8,12.8,12.8,12.8,12.8,1.0,0.0,8.0,1.0,12.2,12.2,12.2,12.2,1.0,0.0,8.0,1.0,8.8,8.8,8.8,8.8,1.0,0.0,8.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,8.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,8.0,1.0,100.0,100.0,100.0,100.0,1.0,0.0,8.0,1.0,2.3,2.3,2.3,2.3,1.0,0.0,8.0,1.0,-6.4,-6.4,-6.4,-6.4,1.0,0.0,8.0,1.0,0.6,0.6,0.6,0.6,1.0,0.0,8.0,1.0,1.6,1.6,1.6,1.6,1.0,0.0,8.0,1.0,0.36,0.36,0.36,0.36,1.0,0.0,8.0,1.0,0.9,0.9,0.9,0.9,1.0,0.0,8.0,1.0,10.8,10.8,10.8,10.8,1.0,0.0,8.0,1.0,-29.8,-29.8,-29.8,-29.8,1.0,0.0,8.0,1.0,7.8,7.8,7.8,7.8,1.0,0.0,8.0,1.0,-21.5,-21.5,-21.5,-21.5,1.0,0.0,8.0,1.0,0.3,0.3,0.3,0.3,1.0,0.0,8.0,1.0,-0.9,-0.9,-0.9,-0.9,1.0,0.0,8.0,1.0,17.5,17.5,17.5,17.5,1.0,0.0,8.0,1.0,20.0,20.0,20.0,20.0,1.0,0.0,8.0,1.0,2.6,2.6,2.6,2.6,1.0,0.0,8.0,1.0,0.89,0.89,0.89,0.89,1.0,0.0,8.0,1.0,-2.44,-2.44,-2.44,-2.44,1.0,0.0,8.0,1.0,1013.2,1013.2,1013.2,1013.2,1.0,0.0,8.0,1.0
1942,8,23312,-179.7,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.7,7.9,5.9,3.0,3.1,8.0,1.0,-2.7,0.0,2.0,-0.3,3.0,3.5,8.0,1.0,10.5,97.5,211.5,120.0,11.0,131.0,16.0,0.5,10.0,95.0,210.0,120.0,11.0,130.0,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
