Year,Month,Running Month,Longitude,Latitude,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1886,8,22640,-177.9,0.8,2.3,3.0,4.4,3.3,3.0,1.5,8.0,0.0,91.6,91.6,91.6,91.6,2.0,0.0,8.0,0.0,-44.5,-44.5,-44.5,-44.5,1.0,0.0,8.0,0.0,6.2,6.2,6.2,6.2,1.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,-47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,2.0,0.0,2.0,0.5,-3.75,-3.75,-3.75,-3.75,2.0,0.0,2.0,0.5,-5.55,-5.55,-5.55,-5.55,2.0,0.0,2.0,0.5,1007.81,1013.2,1018.59,1013.2,2.0,11.17,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.37,12.3,12.3,10.9,4.0,2.8,10.0,0.5,5.76,8.15,10.54,8.15,4.0,2.97,10.0,0.5,4.46,6.32,9.11,6.76,4.0,2.81,10.0,0.5,1024.3,1024.3,1024.3,1024.3,1.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,2.5,3.0,3.0,4.3,3.3,12.0,0.9,8.0,0.5,84.4,91.6,95.6,90.7,11.0,4.8,8.0,0.5,-85.6,-44.5,-44.5,-58.2,12.0,20.3,8.0,0.5,6.2,6.2,12.0,8.2,12.0,2.9,8.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,14.5,3.0,4.0,5.0,3.7,7.0,1.1,16.0,0.4,92.1,95.4,95.5,94.0,7.0,1.9,16.0,0.4,-71.7,-71.7,-71.7,-71.7,7.0,0.0,16.0,0.4,-48.4,-48.4,-48.4,-48.4,7.0,0.0,16.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,8.0,0.0,2.0,0.5,-4.56,-2.37,-2.37,-3.19,8.0,1.13,2.0,0.5,-0.64,3.94,3.94,2.22,8.0,2.37,2.0,0.5,1014.6,1014.6,1015.76,1015.17,3.0,0.98,2.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.5,44.6,6.0,6.0,8.0,6.6,9.0,1.3,22.0,0.8,88.4,91.4,97.0,92.7,4.0,5.5,14.0,0.5,-16.0,-4.1,-4.1,-10.4,9.0,9.4,22.0,0.8,-19.9,-11.8,5.4,-8.6,9.0,14.3,22.0,0.8,13.3,13.3,13.74,13.31,9.0,0.49,22.0,0.8,14.03,15.0,15.44,14.81,9.0,0.74,22.0,0.8,9.6,9.73,9.86,9.73,4.0,0.18,14.0,0.5,88.4,91.4,97.0,92.7,4.0,5.5,14.0,0.5,2.6,4.6,4.6,3.94,9.0,1.44,22.0,0.8,-3.48,-1.56,-1.56,-2.31,9.0,1.25,22.0,0.8,-4.33,-2.57,2.08,-1.24,9.0,3.2,22.0,0.8,1024.51,1025.1,1028.4,1026.39,9.0,2.1,22.0,0.8,-2.07,-1.7,-0.73,-1.5,9.0,0.6,22.0,0.8,-9.5,-5.1,-3.2,-5.9,9.0,3.3,22.0,0.8,-0.41,-0.31,-0.02,-0.22,4.0,0.28,14.0,0.5,-1.1,-0.8,-0.1,-0.6,4.0,0.7,14.0,0.5,-51.8,-25.2,-22.2,-34.3,9.0,18.7,22.0,0.8,-62.3,-38.6,32.1,-17.4,9.0,47.2,22.0,0.8,-15.4,-15.2,-15.0,-15.2,4.0,0.3,14.0,0.5,19.9,20.2,20.5,20.2,4.0,0.4,14.0,0.5,0.0,0.5,0.6,0.3,4.0,0.4,14.0,0.5,-0.8,-0.7,0.0,-0.5,4.0,0.6,14.0,0.5,17.5,97.5,97.5,84.5,9.0,90.5,22.0,0.8,20.0,95.0,95.0,85.0,9.0,90.0,22.0,0.8
1886,8,22640,-177.5,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78,15.4,15.4,14.63,4.0,1.55,14.0,0.0,-5.22,-3.77,-2.94,-4.06,4.0,1.38,14.0,0.0,12.77,14.7,15.12,13.98,4.0,1.76,14.0,0.0,1025.7,1025.7,1025.7,1025.7,4.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.4,16.5,3.0,3.5,5.0,3.7,10.0,1.1,16.0,0.5,91.6,91.6,95.7,92.8,10.0,2.0,16.0,0.5,-71.7,-57.9,-40.1,-56.5,10.0,16.2,16.0,0.5,-48.4,-36.7,-8.6,-31.8,10.0,18.5,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,8,22640,-177.4,24.5,5.0,5.0,5.9,5.1,8.0,0.6,18.0,0.8,91.5,91.5,95.4,93.0,8.0,2.0,18.0,0.8,-84.9,-84.9,-84.9,-92.9,8.0,22.5,18.0,0.8,16.5,16.5,16.5,18.0,8.0,4.4,18.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
