Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,Sx,Sy,As1,As3,As5,Am,An,As,Ad,Aht,Ax,Ay,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Qx,Qy,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ry,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Wx,Wy,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Ux,Uy,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Vx,Vy,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Px,Py,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Cx,Cy,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Xx,Xy,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Yx,Yy,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Dx,Dy,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Ex,Ey,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Fx,Fy,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Gx,Gy,Is1,Is3,Is5,Im,In,Is,Id,Iht,Ix,Iy,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Jx,Jy,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Kx,Ky,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Lx,Ly,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Mx,My,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,Nx,Ny,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B1x,B1y,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht,B2x,B2y
2006,11,0.0,-40.0,14.8,14.8,14.8,14.8,1.0,0.0,28.0,1.0,0.1,0.8,15.6,15.8,16.0,15.8,2.0,0.42,28.0,0.5,0.3,0.8,10.37,10.77,11.16,10.77,2.0,0.82,28.0,0.5,0.3,0.8,94.2,96.3,98.4,96.3,2.0,4.4,28.0,0.5,0.8,12.97,14.4,15.83,14.4,2.0,2.97,28.0,0.5,0.3,0.8,3.11,5.19,7.28,5.19,2.0,4.32,28.0,0.5,0.3,0.8,-13.94,-13.2,-12.46,-13.2,2.0,1.54,28.0,0.5,0.3,0.8,1008.39,1009.65,1010.91,1009.65,2.0,2.62,28.0,0.5,0.3,0.8,8.0,8.0,8.0,8.0,2.0,0.0,28.0,0.5,0.3,0.8,43.7,81.2,118.7,81.2,2.0,77.7,28.0,0.5,0.3,0.8,-222.0,-192.4,-162.8,-192.4,2.0,61.4,28.0,0.5,0.3,0.8,-0.7,-0.7,-0.7,-0.7,1.0,0.0,28.0,1.0,0.1,0.8,-8.6,-8.6,-8.6,-8.6,1.0,0.0,28.0,1.0,0.1,0.8,0.27,0.27,0.27,0.27,1.0,0.0,28.0,1.0,0.1,0.8,3.3,3.3,3.3,3.3,1.0,0.0,28.0,1.0,0.1,0.8,48.9,83.0,117.0,83.0,2.0,70.5,28.0,0.5,0.3,0.8,-223.3,-208.9,-194.5,-208.9,2.0,29.9,28.0,0.5,0.3,0.8,33.2,57.7,82.2,57.7,2.0,50.8,28.0,0.5,0.3,0.8,-155.9,-142.8,-129.6,-142.8,2.0,27.3,28.0,0.5,0.3,0.8,0.6,0.6,0.6,0.6,1.0,0.0,28.0,1.0,0.1,0.8,-3.3,-3.3,-3.3,-3.3,1.0,0.0,28.0,1.0,0.1,0.8,2278.5,3176.5,4074.5,3176.5,2.0,1860.5,28.0,0.5,0.3,0.8,2280.0,3175.0,4075.0,3175.0,2.0,1860.0,28.0,0.5,0.3,0.8
2006,11,0.0,-36.0,16.0,16.0,16.0,16.0,1.0,0.0,26.0,1.0,0.4,1.0,15.58,15.75,15.92,15.75,2.0,0.35,24.0,1.0,0.7,0.6,6.26,7.43,8.61,7.43,2.0,2.44,24.0,1.0,0.7,0.6,57.8,67.8,77.8,67.8,2.0,20.7,24.0,1.0,0.6,5.17,6.4,7.63,6.4,2.0,2.55,24.0,1.0,0.7,0.6,-5.28,-3.14,-1.0,-3.14,2.0,4.44,24.0,1.0,0.7,0.6,-3.7,-0.34,3.03,-0.34,2.0,6.98,24.0,1.0,0.7,0.6,1026.16,1026.5,1026.84,1026.5,2.0,0.71,24.0,1.0,0.7,0.6,4.5,5.5,6.5,5.5,2.0,2.1,24.0,1.0,0.7,0.6,-43.3,-25.8,-8.2,-25.8,2.0,36.4,24.0,1.0,0.7,0.6,-33.0,-11.0,10.9,-11.0,2.0,45.5,24.0,1.0,0.7,0.6,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,1.0,0.4,1.0,1.97,1.97,1.97,1.97,1.0,0.0,26.0,1.0,0.4,1.0,16.2,16.2,16.2,16.2,1.0,0.0,26.0,1.0,0.4,1.0,-84.6,-50.3,-16.0,-50.3,2.0,71.1,24.0,1.0,0.7,0.6,-59.6,-6.5,46.6,-6.5,2.0,110.0,24.0,1.0,0.7,0.6,-48.4,-28.8,-9.1,-28.8,2.0,40.7,24.0,1.0,0.7,0.6,-36.4,-11.0,14.4,-11.0,2.0,52.7,24.0,1.0,0.7,0.6,-12.4,-12.4,-12.4,-12.4,1.0,0.0,26.0,1.0,0.4,1.0,-10.4,-10.4,-10.4,-10.4,1.0,0.0,26.0,1.0,0.4,1.0,169.5,324.5,479.5,324.5,2.0,321.0,24.0,1.0,0.7,0.6,170.0,325.0,480.0,325.0,2.0,320.0,24.0,1.0,0.7,0.6
2006,11,0.0,-34.0,18.91,19.35,19.79,19.35,2.0,0.92,8.0,0.5,0.4,0.8,16.69,17.1,18.4,17.53,3.0,1.31,10.0,0.7,0.4,0.9,8.54,10.29,10.7,9.63,3.0,1.68,10.0,0.7,0.4,0.9,69.1,80.6,86.8,78.0,3.0,13.1,10.0,0.7,0.9,2.48,4.6,11.63,7.0,3.0,7.01,10.0,0.7,0.4,0.9,-2.35,1.15,9.17,3.36,3.0,8.66,10.0,0.7,0.4,0.9,-1.88,-0.96,4.78,1.4,3.0,5.29,10.0,0.7,0.4,0.9,1014.94,1023.4,1026.2,1020.63,3.0,8.59,10.0,0.7,0.4,0.9,4.3,7.0,7.7,6.0,3.0,2.6,10.0,0.7,0.4,0.9,-12.0,1.7,131.8,58.6,3.0,116.2,10.0,0.7,0.4,0.9,-7.7,-1.4,75.3,33.0,3.0,67.7,10.0,0.7,0.4,0.9,1.19,1.6,2.01,1.6,2.0,0.85,8.0,0.5,0.4,0.8,2.9,5.8,8.8,5.8,2.0,6.1,8.0,0.5,0.4,0.8,3.01,3.21,3.42,3.21,2.0,0.42,8.0,0.5,0.4,0.8,6.6,9.3,12.1,9.3,2.0,5.8,8.0,0.5,0.4,0.8,-37.9,21.8,157.5,58.9,3.0,146.8,10.0,0.7,0.4,0.9,-31.7,-18.3,81.1,23.7,3.0,90.3,10.0,0.7,0.4,0.9,-24.0,12.5,72.0,23.7,3.0,71.0,10.0,0.7,0.4,0.9,-19.5,-10.5,35.9,7.8,3.0,43.6,10.0,0.7,0.4,0.9,-9.1,-3.8,1.5,-3.8,2.0,11.1,8.0,0.5,0.4,0.8,-6.2,-5.0,-3.9,-5.0,2.0,2.4,8.0,0.5,0.4,0.8,33.0,97.5,2289.0,1136.0,3.0,1881.5,10.0,0.7,0.4,0.9,35.0,95.0,2290.0,1135.0,3.0,1880.0,10.0,0.7,0.4,0.9
2006,11,0.0,-32.0,16.5,16.5,16.5,16.5,1.0,0.0,16.0,0.0,0.8,0.8,17.0,17.0,19.87,18.4,3.0,2.42,14.0,0.3,0.5,0.4,7.25,9.6,10.12,8.71,3.0,2.24,14.0,0.3,0.5,0.4,56.6,67.3,76.6,66.6,3.0,14.6,14.0,0.3,0.4,6.06,6.2,10.77,8.37,3.0,3.93,14.0,0.3,0.5,0.4,-4.63,-2.05,8.02,1.61,3.0,9.79,14.0,0.3,0.5,0.4,-0.86,2.12,4.52,1.84,3.0,3.95,14.0,0.3,0.5,0.4,1021.15,1026.0,1026.68,1023.97,3.0,4.42,14.0,0.3,0.5,0.4,4.0,4.0,6.7,5.3,3.0,2.3,14.0,0.3,0.5,0.4,-28.6,-12.3,108.0,38.5,3.0,109.2,14.0,0.3,0.5,0.4,-15.6,13.1,27.3,6.0,3.0,32.0,14.0,0.3,0.5,0.4,-0.5,-0.5,-0.5,-0.5,1.0,0.0,16.0,0.0,0.8,0.8,-6.4,-6.4,-6.4,-6.4,1.0,0.0,16.0,0.0,0.8,0.8,5.42,5.42,5.42,5.42,1.0,0.0,16.0,0.0,0.8,0.8,69.9,69.9,69.9,69.9,1.0,0.0,16.0,0.0,0.8,0.8,-95.4,-34.9,136.3,19.2,3.0,176.1,14.0,0.3,0.5,0.4,-11.7,45.0,79.7,34.2,3.0,67.6,14.0,0.3,0.5,0.4,-47.5,-19.7,47.2,-0.6,3.0,71.3,14.0,0.3,0.5,0.4,-2.4,22.0,43.9,20.8,3.0,34.0,14.0,0.3,0.5,0.4,68.9,68.9,68.9,68.9,1.0,0.0,16.0,0.0,0.8,0.8,-12.1,-12.1,-12.1,-12.1,1.0,0.0,16.0,0.0,0.8,0.8,223.0,238.5,1541.0,867.0,3.0,1108.5,14.0,0.3,0.5,0.4,225.0,240.0,1540.0,865.0,3.0,1110.0,14.0,0.3,0.5,0.4
2006,11,0.0,-24.0,17.8,17.8,17.8,17.8,1.0,0.0,22.0,1.0,0.7,0.1,23.7,23.7,23.7,23.7,1.0,0.0,22.0,1.0,0.7,0.1,11.9,11.9,11.9,11.9,1.0,0.0,22.0,1.0,0.7,0.1,66.1,66.1,66.1,66.1,1.0,0.0,22.0,1.0,0.1,7.2,7.2,7.2,7.2,1.0,0.0,22.0,1.0,0.7,0.1,-6.24,-6.24,-6.24,-6.24,1.0,0.0,22.0,1.0,0.7,0.1,3.6,3.6,3.6,3.6,1.0,0.0,22.0,1.0,0.7,0.1,1024.5,1024.5,1024.5,1024.5,1.0,0.0,22.0,1.0,0.7,0.1,8.0,8.0,8.0,8.0,1.0,0.0,22.0,1.0,0.7,0.1,-44.9,-44.9,-44.9,-44.9,1.0,0.0,22.0,1.0,0.7,0.1,25.9,25.9,25.9,25.9,1.0,0.0,22.0,1.0,0.7,0.1,-5.9,-5.9,-5.9,-5.9,1.0,0.0,22.0,1.0,0.7,0.1,-42.5,-42.5,-42.5,-42.5,1.0,0.0,22.0,1.0,0.7,0.1,0.62,0.62,0.62,0.62,1.0,0.0,22.0,1.0,0.7,0.1,4.5,4.5,4.5,4.5,1.0,0.0,22.0,1.0,0.7,0.1,-147.8,-147.8,-147.8,-147.8,1.0,0.0,22.0,1.0,0.7,0.1,85.3,85.3,85.3,85.3,1.0,0.0,22.0,1.0,0.7,0.1,-74.2,-74.2,-74.2,-74.2,1.0,0.0,22.0,1.0,0.7,0.1,42.8,42.8,42.8,42.8,1.0,0.0,22.0,1.0,0.7,0.1,-3.9,-3.9,-3.9,-3.9,1.0,0.0,22.0,1.0,0.7,0.1,2.2,2.2,2.2,2.2,1.0,0.0,22.0,1.0,0.7,0.1,373.0,373.0,373.0,373.0,1.0,0.0,22.0,1.0,0.7,0.1,375.0,375.0,375.0,375.0,1.0,0.0,22.0,1.0,0.7,0.1
2006,11,0.0,-20.0,19.0,19.0,19.33,19.27,6.0,0.65,14.0,1.0,0.5,0.4,19.9,21.0,24.0,21.29,7.0,2.14,14.0,1.0,0.6,0.3,9.52,10.75,11.64,10.73,6.0,1.47,14.0,1.0,0.6,0.3,68.0,70.4,73.7,70.1,6.0,5.1,14.0,1.0,0.3,6.67,7.0,8.1,7.53,7.0,1.3,14.0,1.0,0.6,0.3,-5.26,-4.5,-2.86,-4.28,7.0,2.34,14.0,1.0,0.6,0.3,5.35,6.13,6.44,5.9,7.0,0.59,14.0,1.0,0.6,0.3,1014.0,1016.0,1016.0,1015.41,7.0,0.97,14.0,1.0,0.6,0.3,8.0,8.0,8.0,8.0,7.0,0.0,14.0,1.0,0.6,0.3,-42.8,-31.5,-17.1,-34.3,7.0,23.6,14.0,1.0,0.6,0.3,37.2,44.9,49.8,44.8,7.0,10.8,14.0,1.0,0.6,0.3,-5.0,-2.0,-0.88,-2.57,6.0,1.98,14.0,1.0,0.5,0.4,-31.0,-15.0,-6.9,-17.6,6.0,12.5,14.0,1.0,0.5,0.4,2.0,2.86,4.18,2.98,5.0,1.6,16.0,1.0,0.6,0.3,14.0,22.9,30.3,22.1,5.0,12.6,16.0,1.0,0.6,0.3,-109.4,-102.8,-68.6,-89.0,7.0,43.9,14.0,1.0,0.6,0.3,115.6,124.7,129.3,124.8,7.0,9.3,14.0,1.0,0.6,0.3,-62.2,-51.8,-35.8,-47.0,6.0,25.2,14.0,1.0,0.6,0.3,56.9,64.2,71.4,64.3,6.0,8.0,14.0,1.0,0.6,0.3,-18.4,-12.9,-1.4,-11.0,5.0,10.1,16.0,1.0,0.6,0.3,10.7,17.6,27.0,18.2,5.0,10.4,16.0,1.0,0.6,0.3,296.5,343.0,535.5,461.0,7.0,261.0,14.0,1.0,0.6,0.3,295.0,345.0,535.0,460.0,7.0,260.0,14.0,1.0,0.6,0.3
2006,11,0.0,-16.0,19.89,20.25,20.73,20.34,10.0,0.66,16.0,0.8,0.8,0.8,19.68,20.8,22.12,20.86,11.0,1.24,18.0,0.8,0.7,0.9,10.01,10.95,11.72,10.97,9.0,1.09,16.0,0.9,0.7,0.9,65.8,67.8,77.6,71.3,9.0,7.1,16.0,0.9,0.9,6.22,8.0,8.53,7.25,11.0,1.81,18.0,0.8,0.7,0.9,-7.39,-6.13,-2.64,-5.24,11.0,2.35,18.0,0.8,0.7,0.9,3.38,4.0,5.86,4.57,11.0,1.56,18.0,0.8,0.7,0.9,1015.0,1015.4,1017.32,1015.85,11.0,1.21,18.0,0.8,0.7,0.9,5.6,8.0,8.0,6.9,11.0,1.6,18.0,0.8,0.7,0.9,-63.5,-44.9,-16.7,-40.9,11.0,23.9,18.0,0.8,0.7,0.9,23.4,32.0,44.4,34.1,11.0,14.8,18.0,0.8,0.7,0.9,-2.86,0.4,0.99,-0.5,8.0,1.79,16.0,0.8,0.7,0.8,-21.9,2.9,7.2,-3.1,8.0,13.6,16.0,0.8,0.7,0.8,2.99,4.23,4.67,3.74,7.0,1.48,16.0,0.9,0.7,0.8,23.7,30.6,34.4,28.3,7.0,13.0,16.0,0.9,0.7,0.8,-159.4,-121.6,-52.4,-110.0,11.0,51.3,18.0,0.8,0.7,0.9,68.5,92.0,121.2,94.7,11.0,29.7,18.0,0.8,0.7,0.9,-78.0,-63.3,-25.7,-56.2,9.0,25.4,16.0,0.9,0.7,0.9,33.9,45.5,65.0,49.8,9.0,15.6,16.0,0.9,0.7,0.9,-26.1,-21.5,-14.6,-19.6,7.0,9.1,16.0,0.9,0.7,0.8,11.9,16.7,24.3,18.9,7.0,12.4,16.0,0.9,0.7,0.8,256.0,512.0,624.5,440.0,11.0,231.0,18.0,0.8,0.7,0.9,255.0,510.0,625.0,440.0,11.0,230.0,18.0,0.8,0.7,0.9
2006,11,0.0,-14.0,20.71,21.2,21.7,21.24,17.0,0.67,20.0,0.8,0.4,0.5,20.0,20.5,21.61,20.78,11.0,0.98,20.0,0.7,0.3,0.5,10.72,12.58,12.87,12.1,7.0,1.28,18.0,0.7,0.3,0.5,71.4,82.3,84.0,79.4,7.0,10.2,18.0,0.7,0.5,5.88,7.0,9.0,7.35,11.0,1.43,20.0,0.7,0.3,0.5,-5.86,-4.94,-3.32,-4.54,11.0,1.27,20.0,0.7,0.3,0.5,3.47,6.06,6.99,5.39,11.0,2.27,20.0,0.7,0.3,0.5,1013.12,1015.0,1016.32,1014.8,11.0,2.18,20.0,0.7,0.3,0.5,7.0,7.5,8.0,7.4,10.0,0.7,18.0,0.8,0.3,0.5,-52.1,-28.1,-22.2,-34.1,11.0,14.0,20.0,0.7,0.3,0.5,18.4,42.4,62.0,41.8,11.0,21.7,20.0,0.7,0.3,0.5,-0.62,0.5,1.36,0.38,9.0,1.1,20.0,0.7,0.3,0.5,-3.6,3.5,7.7,3.1,9.0,7.2,20.0,0.7,0.3,0.5,2.12,4.33,4.52,3.65,6.0,1.32,18.0,0.7,0.3,0.5,11.1,28.7,30.9,24.0,6.0,10.5,18.0,0.7,0.3,0.5,-120.3,-102.8,-65.5,-94.5,11.0,26.8,20.0,0.7,0.3,0.5,72.7,128.5,143.4,111.3,11.0,46.3,20.0,0.7,0.3,0.5,-73.0,-53.1,-44.2,-55.4,7.0,15.8,18.0,0.7,0.3,0.5,29.2,58.5,77.9,54.3,7.0,30.2,18.0,0.7,0.3,0.5,-22.9,-14.9,-9.7,-15.7,6.0,6.6,18.0,0.7,0.3,0.5,6.9,19.8,26.0,16.8,6.0,11.1,18.0,0.7,0.3,0.5,203.5,343.0,729.0,437.0,11.0,236.0,20.0,0.7,0.3,0.5,205.0,345.0,730.0,435.0,11.0,235.0,20.0,0.7,0.3,0.5
2006,11,0.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,1.0,0.0,24.0,1.0,0.6,0.9,-3.83,-3.83,-3.83,-3.83,1.0,0.0,24.0,1.0,0.6,0.9,3.21,3.21,3.21,3.21,1.0,0.0,24.0,1.0,0.6,0.9,1012.9,1012.9,1012.9,1012.9,1.0,0.0,24.0,1.0,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.3,-87.3,-87.3,-87.3,1.0,0.0,24.0,1.0,0.6,0.9,73.3,73.3,73.3,73.3,1.0,0.0,24.0,1.0,0.6,0.9,-52.7,-52.7,-52.7,-52.7,1.0,0.0,24.0,1.0,0.6,0.9,44.2,44.2,44.2,44.2,1.0,0.0,24.0,1.0,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,11,0.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,7.2,8.38,7.28,4.0,1.41,26.0,0.8,0.3,0.8,-1.8,1.25,1.66,-0.01,4.0,3.01,26.0,0.8,0.3,0.8,5.95,7.09,7.69,6.83,4.0,1.11,26.0,0.8,0.3,0.8,1011.86,1013.15,1013.86,1012.88,4.0,1.32,26.0,0.8,0.3,0.8,7.2,7.5,7.8,7.5,2.0,0.7,24.0,1.0,0.2,0.6,-17.5,9.0,10.7,-2.8,4.0,25.2,26.0,0.8,0.3,0.8,37.0,51.3,64.5,50.8,4.0,17.2,26.0,0.8,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.3,30.2,40.2,1.8,4.0,68.9,26.0,0.8,0.3,0.8,144.5,167.5,178.9,162.0,4.0,23.1,26.0,0.8,0.3,0.8,-27.1,20.2,25.6,0.2,4.0,46.2,26.0,0.8,0.3,0.8,92.3,112.5,121.4,107.1,4.0,19.7,26.0,0.8,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
