Year,Month,Running Month,Longitude,Latitude,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations
1934,6,23214,-179.6,-17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,26.1,27.2,26.11,7.0,0.95,16.0,0.7,25.07,25.85,26.63,25.91,8.0,0.78,18.0,0.6,19.05,19.93,20.8,19.93,2.0,1.81,30.0,0.5,92.3,95.4,98.6,95.4,2.0,6.4,30.0,0.5,4.6,6.7,6.7,5.91,8.0,1.09,18.0,0.6,-6.69,-5.2,-4.23,-5.32,8.0,1.32,18.0,0.6,0.14,1.8,2.53,1.86,8.0,1.75,18.0,0.6,1009.66,1012.35,1014.2,1012.15,8.0,2.18,18.0,0.6,3.3,6.0,8.0,5.6,5.0,2.6,10.0,0.8,92.3,95.4,98.6,95.4,2.0,6.4,30.0,0.5,-44.8,-33.2,-19.5,-32.3,8.0,12.4,18.0,0.6,0.9,8.3,16.5,11.0,8.0,12.0,18.0,0.6,0.0,0.0,0.5,0.16,7.0,0.27,16.0,0.7,0.0,0.0,3.4,1.1,7.0,1.8,16.0,0.7,0.78,0.78,0.78,0.78,1.0,0.0,30.0,1.0,5.2,5.2,5.2,5.2,1.0,0.0,30.0,1.0,-171.6,-138.1,-105.9,-138.2,8.0,35.5,18.0,0.6,3.7,44.9,66.2,47.8,8.0,44.9,18.0,0.6,-128.4,-104.7,-80.9,-104.7,2.0,49.2,30.0,0.5,39.2,65.3,91.4,65.3,2.0,54.1,30.0,0.5
1934,6,23214,-179.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,26.1,26.96,26.23,4.0,0.86,6.0,0.3,24.65,24.85,26.47,25.53,4.0,1.53,6.0,0.3,19.42,19.42,19.42,19.42,1.0,0.0,20.0,1.0,83.8,83.8,83.8,83.8,1.0,0.0,20.0,1.0,4.6,5.65,6.7,5.65,4.0,1.21,6.0,0.3,-6.47,-4.73,-3.25,-4.85,4.0,1.86,6.0,0.3,-3.25,-2.88,-1.19,-2.25,4.0,1.54,6.0,0.3,1018.67,1019.3,1019.35,1019.03,4.0,0.62,6.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.85,1.32,0.7,4.0,0.96,6.0,0.3,-0.4,3.9,7.9,3.8,4.0,6.3,6.0,0.3,3.01,3.01,3.01,3.01,1.0,0.0,20.0,1.0,20.2,20.2,20.2,20.2,1.0,0.0,20.0,1.0,-170.2,-123.9,-80.2,-125.1,4.0,52.0,6.0,0.3,-80.2,-74.9,-33.2,-57.5,4.0,38.7,6.0,0.3,-120.6,-120.6,-120.6,-120.6,1.0,0.0,20.0,1.0,-48.7,-48.7,-48.7,-48.7,1.0,0.0,20.0,1.0
1934,6,23214,-179.6,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,8.0,8.0,6.0,3.0,3.5,2.0,0.0,83.8,83.8,83.8,83.8,1.0,0.0,20.0,1.0,-43.3,-28.3,-15.0,-29.1,4.0,16.4,6.0,0.3,-15.9,-15.0,-7.1,-11.7,4.0,7.8,6.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.6,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.58,0.92,5.0,1.06,26.0,0.2,-1.12,-0.71,0.0,-0.65,5.0,0.75,26.0,0.2,0.0,0.71,1.12,0.65,5.0,0.75,26.0,0.2,1024.93,1025.8,1026.21,1025.62,5.0,0.69,26.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.6,50.8,0.0,0.0,1.1,0.5,4.0,1.0,22.0,1.0,0.0,0.0,0.4,0.2,4.0,0.4,22.0,1.0,85.0,301.0,1155.0,579.5,11.0,663.0,18.0,1.0,85.0,300.0,1155.0,580.0,11.0,665.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.5,-21.1,1.8,1.8,1.8,1.8,1.0,0.0,22.0,0.0,-9.3,-9.3,-9.3,-9.3,1.0,0.0,22.0,0.0,97.5,97.5,97.5,97.5,1.0,0.0,22.0,0.0,95.0,95.0,95.0,95.0,1.0,0.0,22.0,0.0,25.0,25.0,25.0,25.0,1.0,0.0,22.0,0.0,25.6,25.6,25.6,25.6,1.0,0.0,22.0,0.0,17.73,17.73,17.73,17.73,1.0,0.0,22.0,0.0,86.6,86.6,86.6,86.6,1.0,0.0,22.0,0.0,4.6,4.6,4.6,4.6,1.0,0.0,22.0,0.0,0.88,0.88,0.88,0.88,1.0,0.0,22.0,0.0,-4.52,-4.52,-4.52,-4.52,1.0,0.0,22.0,0.0,1012.6,1012.6,1012.6,1012.6,1.0,0.0,22.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,22.0,0.0,86.6,86.6,86.6,86.6,1.0,0.0,22.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,22.0,0.0,-20.8,-20.8,-20.8,-20.8,1.0,0.0,22.0,0.0,-0.6,-0.6,-0.6,-0.6,1.0,0.0,22.0,0.0,-2.8,-2.8,-2.8,-2.8,1.0,0.0,22.0,0.0,2.05,2.05,2.05,2.05,1.0,0.0,22.0,0.0,9.4,9.4,9.4,9.4,1.0,0.0,22.0,0.0,22.5,22.5,22.5,22.5,1.0,0.0,22.0,0.0,-115.6,-115.6,-115.6,-115.6,1.0,0.0,22.0,0.0,15.6,15.6,15.6,15.6,1.0,0.0,22.0,0.0,-80.1,-80.1,-80.1,-80.1,1.0,0.0,22.0,0.0
1934,6,23214,-179.5,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,4.6,8.03,5.53,9.0,3.19,20.0,0.8,-0.51,3.25,5.68,3.31,9.0,4.11,20.0,0.8,-2.38,2.55,4.52,1.76,9.0,3.45,20.0,0.8,1016.62,1026.15,1034.1,1024.4,8.0,11.21,20.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.5,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,6.7,9.3,6.27,23.0,2.8,14.0,0.8,-0.94,3.81,8.88,3.48,23.0,4.82,14.0,0.8,-4.01,2.35,4.05,0.62,23.0,3.55,14.0,0.8,999.8,1013.2,1025.17,1012.67,22.0,11.47,14.0,0.8,4.5,8.0,8.0,7.0,23.0,1.9,14.0,0.8,93.3,93.3,93.3,93.3,1.0,0.0,22.0,0.0,-2.4,17.5,82.6,31.0,23.0,46.9,14.0,0.8,-24.8,6.8,25.1,1.8,23.0,27.6,14.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,6,23214,-179.5,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,6.0,8.23,6.62,14.0,1.44,12.0,0.5,5.0,5.6,7.95,6.17,14.0,1.44,12.0,0.5,5.6,5.6,5.6,5.6,1.0,0.0,14.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,14.0,0.0,2.73,4.6,6.7,5.72,14.0,4.31,12.0,0.5,0.93,4.6,6.21,3.89,14.0,4.1,12.0,0.5,0.02,2.1,3.67,0.99,14.0,4.43,12.0,0.5,1002.86,1008.35,1017.82,1010.36,14.0,9.45,12.0,0.5,6.1,8.0,8.0,7.4,14.0,1.3,12.0,0.5,100.0,100.0,100.0,100.0,1.0,0.0,14.0,0.0,0.9,21.2,41.6,35.4,14.0,66.1,12.0,0.5,0.0,8.1,20.9,-7.4,14.0,72.1,12.0,0.5,-1.87,0.55,2.13,0.45,14.0,1.75,12.0,0.5,-4.9,2.3,14.1,6.1,14.0,15.9,12.0,0.5,0.2,0.2,0.2,0.2,1.0,0.0,14.0,0.0,0.2,0.2,0.2,0.2,1.0,0.0,14.0,0.0,5.2,26.9,39.8,23.5,14.0,24.0,12.0,0.5,0.1,10.9,22.8,5.8,14.0,25.1,12.0,0.5,5.2,5.2,5.2,5.2,1.0,0.0,14.0,0.0,2.1,2.1,2.1,2.1,1.0,0.0,14.0,0.0
1934,6,23214,-179.5,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,8.0,8.0,7.3,6.0,1.2,16.0,1.0,84.7,92.7,92.7,89.4,5.0,4.5,20.0,1.0,-86.7,0.0,27.3,-22.5,11.0,68.7,18.0,1.0,2.8,17.5,47.6,24.8,11.0,24.4,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
