Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1939,9,23277,-179.9,30.1,4.93,5.65,6.37,5.65,2.0,1.48,8.0,0.5,-3.47,-0.74,1.98,-0.74,2.0,5.65,8.0,0.5,3.49,4.0,4.5,4.0,2.0,1.05,8.0,0.5,1007.88,1010.85,1013.82,1010.85,2.0,6.15,8.0,0.5,26.02,26.05,26.08,26.05,2.0,0.07,8.0,0.5,25.35,26.1,26.85,26.1,2.0,1.56,8.0,0.5,18.8,18.8,18.8,18.8,1.0,0.0,4.0,1.0,83.7,83.7,83.7,83.7,1.0,0.0,4.0,1.0,6.3,7.0,7.7,7.0,2.0,1.4,8.0,0.5,83.7,83.7,83.7,83.7,1.0,0.0,4.0,1.0,-24.3,-8.4,7.6,-8.4,2.0,33.0,8.0,0.5,17.6,23.4,29.1,23.4,2.0,11.9,8.0,0.5,-0.77,-0.05,0.67,-0.05,2.0,1.48,8.0,0.5,-5.5,-1.4,2.7,-1.4,2.0,8.5,8.0,0.5,2.28,2.28,2.28,2.28,1.0,0.0,4.0,1.0,15.3,15.3,15.3,15.3,1.0,0.0,4.0,1.0,-95.5,-23.8,48.0,-23.8,2.0,148.6,8.0,0.5,88.9,105.1,121.3,105.1,2.0,33.6,8.0,0.5,-89.1,-89.1,-89.1,-89.1,1.0,0.0,4.0,1.0,89.1,89.1,89.1,89.1,1.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,9,23277,-179.9,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8,-10.8,-10.8,-10.8,1.0,0.0,4.0,1.0,10.8,10.8,10.8,10.8,1.0,0.0,4.0,1.0,129.5,199.0,268.5,199.0,2.0,144.0,8.0,0.5,130.0,200.0,270.0,200.0,2.0,145.0,8.0,0.5
1939,9,23277,-179.9,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,1.0,93.5,301.0,461.0,681.0,7.0,1315.5,10.0,1.0,95.0,300.0,460.0,680.0,7.0,1315.0,10.0,1.0
1939,9,23277,-179.7,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,4.3,17.4,5.5,3.0,17.4,12.0,0.7,-7.9,-2.2,15.3,3.6,3.0,17.7,12.0,0.7,14.5,185.0,301.0,165.5,6.0,150.0,8.0,0.7,15.0,185.0,300.0,165.0,6.0,150.0,8.0,0.7
1939,9,23277,-179.7,32.6,6.27,6.7,9.3,7.22,6.0,1.81,22.0,0.8,-6.29,-4.92,-2.32,-4.1,6.0,3.0,22.0,0.8,-6.99,-2.51,3.94,-1.72,6.0,5.75,22.0,0.8,1017.39,1019.75,1024.4,1020.37,6.0,3.42,22.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,9,23277,-179.6,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,6.0,0.0,4.0,0.7,73.4,75.4,76.3,74.9,3.0,2.2,12.0,0.7,-31.7,-15.9,3.1,-13.7,6.0,18.4,8.0,0.7,-1.5,21.8,32.9,18.2,6.0,17.7,8.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,9,23277,-179.6,20.4,2.37,5.4,6.7,4.72,6.0,2.32,8.0,0.7,-4.74,-3.15,1.04,-2.05,6.0,3.13,8.0,0.7,-0.68,3.82,4.91,2.67,6.0,2.95,8.0,0.7,1011.54,1012.2,1012.84,1012.21,8.0,0.9,6.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-128.9,-88.1,28.5,-56.9,6.0,86.2,8.0,0.7,-19.2,104.3,136.2,73.2,6.0,80.4,8.0,0.7,-31.3,9.3,36.4,2.7,3.0,49.9,12.0,0.7,-18.7,-9.7,30.4,5.5,3.0,38.3,12.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,9,23277,-179.6,22.2,4.93,5.65,6.37,5.65,2.0,1.48,8.0,0.5,-4.9,-2.19,0.53,-2.19,2.0,5.63,8.0,0.5,2.87,3.43,3.98,3.43,2.0,1.14,8.0,0.5,1013.48,1015.6,1017.72,1015.6,2.0,4.38,8.0,0.5,27.3,27.5,27.7,27.5,2.0,0.42,8.0,0.5,26.87,27.25,27.63,27.25,2.0,0.78,8.0,0.5,17.28,18.34,19.41,18.34,2.0,2.21,8.0,0.5,75.1,81.8,88.4,81.8,2.0,13.8,8.0,0.5,4.3,5.0,5.7,5.0,2.0,1.4,8.0,0.5,75.1,81.8,88.4,81.8,2.0,13.8,8.0,0.5,-33.5,-16.5,0.4,-16.5,2.0,35.1,8.0,0.5,17.8,18.5,19.2,18.5,2.0,1.4,8.0,0.5,0.08,0.25,0.42,0.25,2.0,0.35,8.0,0.5,0.5,1.7,2.8,1.7,2.0,2.4,8.0,0.5,3.18,4.57,5.97,4.57,2.0,2.88,8.0,0.5,19.1,23.7,28.3,23.7,2.0,9.5,8.0,0.5,-130.6,-57.4,15.9,-57.4,2.0,151.8,8.0,0.5,77.5,93.8,110.1,93.8,2.0,33.8,8.0,0.5,-98.5,-46.3,5.9,-46.3,2.0,108.1,8.0,0.5,55.1,61.6,68.1,61.6,2.0,13.4,8.0,0.5,-11.3,-1.9,7.5,-1.9,2.0,19.5,8.0,0.5,10.0,17.3,24.6,17.3,2.0,15.1,8.0,0.5,129.5,199.0,268.5,199.0,2.0,144.0,8.0,0.5,130.0,200.0,270.0,200.0,2.0,145.0,8.0,0.5
1939,9,23277,-179.6,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,24.0,24.84,24.04,9.0,1.01,16.0,0.6,19.54,24.0,26.0,23.19,9.0,3.03,16.0,0.6,20.11,20.11,20.11,20.11,1.0,0.0,12.0,1.0,91.5,91.5,91.5,91.5,1.0,0.0,12.0,1.0,3.7,7.0,8.0,6.1,10.0,2.6,16.0,0.6,91.5,91.5,91.5,91.5,1.0,0.0,12.0,1.0,-53.9,-12.6,56.7,-1.0,8.0,52.1,16.0,0.6,-30.0,16.5,128.2,31.3,8.0,74.1,16.0,0.6,-1.46,0.0,3.73,0.86,9.0,2.36,16.0,0.6,-24.8,0.0,37.2,3.7,7.0,26.1,16.0,0.6,-0.95,-0.95,-0.95,-0.95,1.0,0.0,12.0,1.0,-11.7,-11.7,-11.7,-11.7,1.0,0.0,12.0,1.0,-123.0,61.3,126.7,12.0,7.0,128.9,16.0,0.6,-71.7,11.9,296.9,77.4,7.0,170.5,16.0,0.6,-92.7,-92.7,-92.7,-92.7,1.0,0.0,12.0,1.0,229.4,229.4,229.4,229.4,1.0,0.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,9,23277,-179.6,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,16.6,26.9,16.0,4.0,12.6,20.0,1.0,-26.9,-14.7,8.4,-9.5,4.0,21.9,20.0,1.0,301.0,804.5,2600.5,1445.5,11.0,1273.0,18.0,0.7,300.0,805.0,2600.0,1445.0,11.0,1275.0,18.0,0.7
