Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,As1,As3,As5,Am,An,As,Ad,Aht,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Is1,Is3,Is5,Im,In,Is,Id,Iht,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht
1936,7,-179.6,-17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.6,6.85,5.66,7.0,2.31,18.0,0.7,-4.81,-3.67,-3.01,-3.35,7.0,2.51,18.0,0.7,1.84,3.25,4.95,3.8,7.0,2.54,18.0,0.7,1011.4,1012.95,1015.1,1013.23,8.0,2.42,20.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.4,-85.5,-68.4,-83.1,7.0,62.6,18.0,0.7,51.7,74.2,122.9,92.7,7.0,57.7,18.0,0.7,-55.8,-53.8,-51.8,-53.8,2.0,4.1,24.0,0.5,65.1,95.7,126.3,95.7,2.0,63.3,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,18.0,0.0,-3.25,-3.25,-3.25,-3.25,1.0,0.0,18.0,0.0,-3.25,-3.25,-3.25,-3.25,1.0,0.0,18.0,0.0,1012.5,1012.5,1012.5,1012.5,1.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.95,9.3,6.95,4.0,2.71,24.0,0.5,-9.3,-6.95,-0.49,-4.99,4.0,5.92,24.0,0.5,0.0,0.0,1.7,0.81,4.0,1.63,24.0,0.5,1014.98,1017.6,1018.7,1016.88,4.0,2.46,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,6.7,5.24,10.0,1.4,18.0,0.6,-5.5,-3.53,-1.03,-2.87,10.0,3.25,18.0,0.6,0.38,2.6,4.68,2.34,10.0,2.58,18.0,0.6,1017.18,1022.05,1023.59,1020.63,10.0,3.79,18.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,6.7,8.47,6.2,3.0,3.38,22.0,0.7,1.17,2.62,3.31,2.25,3.0,1.6,22.0,0.7,0.22,6.17,7.8,4.06,3.0,5.85,22.0,0.7,1028.82,1029.5,1030.18,1029.5,2.0,1.41,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.6,6.7,4.36,19.0,1.99,12.0,0.4,-2.81,-0.5,2.73,-0.45,19.0,3.0,12.0,0.4,-1.94,2.39,4.27,1.55,19.0,3.5,12.0,0.4,1002.26,1014.2,1025.56,1015.02,17.0,10.98,12.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.6,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.6,6.7,4.31,11.0,2.14,14.0,0.5,-2.05,0.0,0.76,-0.57,11.0,2.75,14.0,0.5,-0.99,1.84,6.41,2.26,11.0,3.38,14.0,0.5,1013.24,1018.8,1023.24,1019.04,11.0,6.44,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,-39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,6.2,11.11,6.43,4.0,5.48,10.0,0.5,0.0,1.91,5.43,2.68,4.0,3.33,10.0,0.5,1.76,5.81,9.64,5.7,4.0,4.58,10.0,0.5,1014.05,1024.25,1027.96,1021.15,4.0,9.41,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,-17.3,25.6,25.85,26.7,26.08,8.0,0.54,20.0,0.6,23.3,25.3,26.63,25.21,8.0,2.07,20.0,0.6,15.49,15.56,15.62,15.56,2.0,0.14,24.0,0.5,87.5,88.8,90.1,88.8,2.0,2.7,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,8.0,5.4,8.0,3.2,20.0,0.6,-36.2,-19.5,-14.0,-22.0,7.0,15.7,18.0,0.7,8.1,15.0,34.5,25.9,7.0,29.1,18.0,0.7,0.0,0.6,2.74,0.86,8.0,1.71,20.0,0.6,-0.5,4.0,16.0,7.5,7.0,12.2,18.0,0.7,4.96,5.24,5.51,5.24,2.0,0.58,24.0,0.5,27.5,38.8,50.1,38.8,2.0,23.4,24.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,7,-179.5,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.7,9.3,6.22,13.0,2.22,14.0,0.5,-8.57,-4.74,-3.11,-5.05,13.0,2.91,14.0,0.5,-0.33,2.62,3.65,1.63,13.0,2.78,14.0,0.5,1017.55,1021.0,1022.72,1020.04,13.0,3.57,14.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
