Year,Month,Running Month,Longitude,Latitude,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1934,12,23220,-179.5,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.7,12.3,8.1,14.0,4.45,18.0,0.2,-3.21,0.64,5.7,1.99,14.0,5.85,18.0,0.2,-11.1,-4.25,-1.73,-4.95,14.0,5.05,18.0,0.2,1010.09,1017.6,1024.53,1017.15,12.0,7.13,18.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.5,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,9.3,15.06,9.96,8.0,5.6,16.0,0.5,-4.17,3.63,10.19,3.39,8.0,6.55,16.0,0.5,-11.35,-4.74,7.51,-3.63,8.0,8.59,16.0,0.5,1001.38,1012.0,1022.33,1011.48,6.0,11.07,12.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,8.0,11.02,7.97,10.0,2.98,6.0,0.5,-7.22,0.0,1.86,-1.94,10.0,5.23,6.0,0.5,-9.3,-3.53,5.86,-2.45,10.0,6.42,6.0,0.5,972.84,983.0,995.73,986.14,9.0,17.88,6.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.5,48.4,-1.0,0.0,1.82,0.15,11.0,1.23,16.0,0.5,-9.3,0.0,6.3,-2.1,11.0,7.9,16.0,0.5,-0.23,-0.23,-0.23,-0.23,1.0,0.0,24.0,0.0,-3.5,-3.5,-3.5,-3.5,1.0,0.0,24.0,0.0,3.71,4.0,5.0,4.35,11.0,0.88,16.0,0.5,2.92,4.4,5.0,4.19,11.0,1.19,16.0,0.5,5.49,5.49,5.49,5.49,1.0,0.0,24.0,0.0,100.0,100.0,100.0,100.0,1.0,0.0,24.0,0.0,4.6,6.7,11.82,8.05,11.0,4.26,16.0,0.5,-0.4,2.62,11.42,4.55,11.0,6.65,16.0,0.5,0.0,3.48,6.39,3.45,11.0,3.05,16.0,0.5,989.85,998.2,1003.89,998.45,11.0,9.34,16.0,0.5,3.0,5.0,7.4,5.2,11.0,2.0,16.0,0.5,100.0,100.0,100.0,100.0,1.0,0.0,24.0,0.0,-1.0,17.5,145.0,59.2,11.0,93.8,16.0,0.5,0.0,21.2,42.8,24.8,11.0,26.6,16.0,0.5,-0.8,12.9,51.5,20.1,11.0,31.4,16.0,0.5,0.0,10.5,31.9,16.0,11.0,17.7,16.0,0.5,84.5,84.5,84.5,84.5,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.5,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,6.7,12.3,7.4,15.0,4.2,16.0,0.5,-0.68,2.35,6.33,2.66,15.0,4.4,16.0,0.5,-7.7,-2.6,2.4,-1.89,15.0,6.75,16.0,0.5,983.51,988.0,1000.05,992.54,15.0,10.72,16.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.4,18.6,-0.75,0.0,1.09,0.17,3.0,1.36,14.0,0.3,-2.0,0.0,7.3,2.6,3.0,7.2,14.0,0.3,5.67,5.67,5.67,5.67,1.0,0.0,22.0,0.0,38.0,38.0,38.0,38.0,1.0,0.0,22.0,0.0,25.59,26.0,26.82,26.2,3.0,0.92,14.0,0.3,25.46,25.6,26.62,26.03,3.0,0.93,14.0,0.3,16.81,16.81,16.81,16.81,1.0,0.0,22.0,0.0,82.5,82.5,82.5,82.5,1.0,0.0,22.0,0.0,2.6,2.6,5.4,3.97,3.0,2.37,14.0,0.3,-3.56,-1.02,-1.02,-2.26,3.0,2.15,14.0,0.3,-3.99,-2.39,-2.39,-3.17,3.0,1.35,14.0,0.3,1015.81,1016.9,1016.97,1016.4,3.0,0.95,14.0,0.3,1.0,1.0,5.8,3.3,3.0,4.0,14.0,0.3,82.5,82.5,82.5,82.5,1.0,0.0,22.0,0.0,-22.5,-2.6,-2.6,-12.3,3.0,16.8,14.0,0.3,-23.6,-6.2,-6.2,-14.7,3.0,14.7,14.0,0.3,-91.5,-27.5,-26.4,-58.2,3.0,54.6,14.0,0.3,-103.4,-64.9,-62.1,-82.3,3.0,33.8,14.0,0.3,-79.6,-79.6,-79.6,-79.6,1.0,0.0,22.0,0.0,-79.6,-79.6,-79.6,-79.6,1.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.4,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42.0,42.0,42.0,1.0,0.0,8.0,1.0,-17.8,-17.8,-17.8,-17.8,1.0,0.0,8.0,1.0,22.5,97.5,301.0,202.0,14.0,210.5,12.0,0.4,25.0,95.0,300.0,200.0,14.0,210.0,12.0,0.4
1934,12,23220,-179.4,30.5,-3.72,1.0,2.99,0.37,14.0,2.84,12.0,0.4,-17.2,3.6,15.0,2.0,14.0,16.1,12.0,0.4,4.9,4.9,4.9,4.9,1.0,0.0,8.0,1.0,45.6,45.6,45.6,45.6,1.0,0.0,8.0,1.0,17.0,17.9,19.96,18.3,14.0,1.62,12.0,0.4,15.07,17.9,20.56,17.93,14.0,2.28,12.0,0.4,9.69,9.69,9.69,9.69,1.0,0.0,8.0,1.0,79.4,79.4,79.4,79.4,1.0,0.0,8.0,1.0,2.73,4.6,6.7,5.14,14.0,2.17,12.0,0.4,0.0,2.94,4.74,2.55,14.0,3.11,12.0,0.4,-4.23,-1.36,4.59,-0.18,14.0,4.06,12.0,0.4,1009.08,1015.1,1025.27,1016.65,13.0,7.45,12.0,0.4,2.0,6.0,8.0,5.3,13.0,2.7,12.0,0.4,79.4,79.4,79.4,79.4,1.0,0.0,8.0,1.0,0.0,16.3,31.7,17.0,14.0,23.3,12.0,0.4,-31.0,-3.9,30.2,-0.5,14.0,26.0,12.0,0.4,0.0,51.2,87.7,46.9,14.0,54.9,12.0,0.4,-70.5,-22.8,95.5,1.3,14.0,75.5,12.0,0.4,82.9,82.9,82.9,82.9,1.0,0.0,8.0,1.0,-35.2,-35.2,-35.2,-35.2,1.0,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.4,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,8.0,15.4,9.0,10.0,4.87,18.0,0.4,-7.59,2.55,12.77,2.39,10.0,8.98,18.0,0.4,-4.93,-2.17,2.6,-1.7,10.0,4.85,18.0,0.4,1002.53,1005.55,1023.37,1009.54,8.0,10.69,18.0,0.4,5.4,6.0,7.6,6.3,10.0,1.1,18.0,0.4,80.6,80.6,80.6,80.6,1.0,0.0,16.0,1.0,-63.7,9.9,196.6,44.4,10.0,119.2,18.0,0.4,-66.9,-10.8,11.9,-28.2,10.0,60.7,18.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,12,23220,-179.4,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,8.0,14.38,9.4,4.0,6.97,18.0,0.5,-3.25,3.59,7.42,2.16,4.0,6.94,18.0,0.5,-3.15,-0.11,10.37,3.44,4.0,9.81,18.0,0.5,991.11,995.85,1006.51,998.68,4.0,10.21,18.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
