Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1938,2,23258,-179.8,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85,12.3,13.43,10.38,5.0,4.85,10.0,0.4,-9.88,-8.7,-4.85,-7.15,5.0,5.1,10.0,0.4,-4.34,0.0,9.5,1.81,5.0,8.01,10.0,0.4,990.62,1003.5,1017.78,1004.34,5.0,14.37,10.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.7,-49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,1.0,0.0,24.0,1.0,4.74,4.74,4.74,4.74,1.0,0.0,24.0,1.0,-4.74,-4.74,-4.74,-4.74,1.0,0.0,24.0,1.0,1011.0,1011.0,1011.0,1011.0,1.0,0.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,-4.6,-4.6,-4.6,-4.6,1.0,0.0,20.0,0.0,1018.1,1018.1,1018.1,1018.1,1.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.7,24.4,22.46,23.3,23.61,23.05,4.0,0.94,16.0,0.3,21.12,21.95,22.78,21.95,4.0,1.12,16.0,0.3,15.24,15.24,15.24,15.24,1.0,0.0,24.0,1.0,94.6,94.6,94.6,94.6,1.0,0.0,24.0,1.0,6.7,6.7,8.32,7.48,4.0,1.55,16.0,0.3,5.44,6.46,8.32,6.86,4.0,2.13,16.0,0.3,-2.48,0.0,1.31,-0.56,4.0,3.03,16.0,0.3,1008.23,1008.3,1013.69,1010.9,3.0,4.59,20.0,0.3,1.5,3.5,5.5,3.5,4.0,2.4,16.0,0.3,94.6,94.6,94.6,94.6,1.0,0.0,24.0,1.0,36.4,43.3,71.7,53.6,4.0,28.9,16.0,0.3,-16.6,0.0,8.8,-3.7,4.0,20.3,16.0,0.3,0.52,1.1,1.68,1.1,4.0,0.9,16.0,0.3,3.5,9.1,12.9,8.2,4.0,6.3,16.0,0.3,3.2,3.2,3.2,3.2,1.0,0.0,24.0,1.0,21.5,21.5,21.5,21.5,1.0,0.0,24.0,1.0,124.0,145.1,175.0,149.3,4.0,39.8,16.0,0.3,-55.1,0.0,30.6,-11.7,4.0,68.2,16.0,0.3,102.1,102.1,102.1,102.1,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.7,50.2,3.43,3.9,3.94,3.72,5.0,0.3,20.0,0.6,0.63,1.7,3.94,2.12,5.0,1.78,20.0,0.6,3.23,3.45,3.68,3.45,2.0,0.47,24.0,1.0,76.5,86.0,95.6,86.0,2.0,19.8,24.0,1.0,4.6,9.3,10.4,8.02,5.0,3.35,20.0,0.6,-9.69,-6.58,0.59,-4.78,5.0,6.35,20.0,0.6,-5.07,-3.48,1.56,-2.0,5.0,4.22,20.0,0.6,994.53,998.0,1011.37,1002.02,5.0,8.83,20.0,0.6,6.0,7.0,8.0,7.0,4.0,1.2,20.0,0.8,76.5,86.0,95.6,86.0,2.0,19.8,24.0,1.0,-102.8,-61.2,2.7,-54.1,5.0,63.8,20.0,0.6,-55.2,-32.4,7.2,-25.1,5.0,34.3,20.0,0.6,0.0,1.6,3.01,1.6,5.0,1.67,20.0,0.6,0.0,14.9,32.8,16.4,5.0,16.9,20.0,0.6,1.3,1.48,1.66,1.48,2.0,0.37,24.0,1.0,12.1,13.8,15.4,13.8,2.0,3.4,24.0,1.0,-11.3,-6.7,6.7,-2.2,5.0,12.4,20.0,0.6,-6.8,0.0,6.1,0.2,5.0,10.2,20.0,0.6,-30.7,-26.6,-22.4,-26.6,2.0,8.5,24.0,1.0,-19.4,-16.9,-14.3,-16.9,2.0,5.2,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.6,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,6.7,7.34,6.87,6.0,1.66,12.0,0.5,-5.19,-4.74,-3.4,-4.03,6.0,2.95,12.0,0.5,-5.19,-4.74,-4.64,-5.02,6.0,0.95,12.0,0.5,1016.0,1016.35,1017.43,1016.7,6.0,1.09,12.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.6,-25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,4.6,4.6,4.6,4.6,1.0,0.0,16.0,1.0,1007.8,1007.8,1007.8,1007.8,1.0,0.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.6,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,2.0,0.0,4.0,1.0,-6.7,-6.7,-6.7,-6.7,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1011.2,1011.2,1011.2,1011.2,2.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.6,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,4.6,9.3,5.36,5.0,3.82,22.0,0.6,-3.34,0.39,4.78,0.96,5.0,4.96,22.0,0.6,-1.33,0.92,5.21,1.83,5.0,4.53,22.0,0.6,998.29,1002.8,1004.02,1001.4,5.0,3.9,22.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,2,23258,-179.6,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,4.0,0.0,18.0,0.3,-3.96,-0.73,3.12,-0.43,4.0,4.2,18.0,0.3,-2.45,-0.79,2.22,-0.15,4.0,3.21,18.0,0.3,996.59,1000.75,1005.75,1001.15,4.0,6.69,18.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
