Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1935,4,23224,-179.9,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,1.0,0.0,2.0,1.0,0.97,0.97,0.97,0.97,1.0,0.0,2.0,1.0,-2.41,-2.41,-2.41,-2.41,1.0,0.0,2.0,1.0,1017.3,1017.3,1017.3,1017.3,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.8,18.4,25.6,25.6,25.6,25.6,1.0,0.0,6.0,0.0,24.4,24.4,24.4,24.4,1.0,0.0,6.0,0.0,14.96,14.96,14.96,14.96,1.0,0.0,6.0,0.0,78.9,78.9,78.9,78.9,1.0,0.0,6.0,0.0,6.7,6.7,6.7,6.7,1.0,0.0,6.0,0.0,-4.74,-4.74,-4.74,-4.74,1.0,0.0,6.0,0.0,-4.74,-4.74,-4.74,-4.74,1.0,0.0,6.0,0.0,1016.2,1016.2,1016.2,1016.2,1.0,0.0,6.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,6.0,0.0,78.9,78.9,78.9,78.9,1.0,0.0,6.0,0.0,-31.7,-31.7,-31.7,-31.7,1.0,0.0,6.0,0.0,-31.7,-31.7,-31.7,-31.7,1.0,0.0,6.0,0.0,1.2,1.2,1.2,1.2,1.0,0.0,6.0,0.0,8.0,8.0,8.0,8.0,1.0,0.0,6.0,0.0,5.48,5.48,5.48,5.48,1.0,0.0,6.0,0.0,36.7,36.7,36.7,36.7,1.0,0.0,6.0,0.0,-115.6,-115.6,-115.6,-115.6,1.0,0.0,6.0,0.0,-115.6,-115.6,-115.6,-115.6,1.0,0.0,6.0,0.0,-70.9,-70.9,-70.9,-70.9,1.0,0.0,6.0,0.0,-70.9,-70.9,-70.9,-70.9,1.0,0.0,6.0,0.0,-26.0,-26.0,-26.0,-26.0,1.0,0.0,6.0,0.0,-26.0,-26.0,-26.0,-26.0,1.0,0.0,6.0,0.0,301.0,301.0,301.0,301.0,1.0,0.0,6.0,0.0,300.0,300.0,300.0,300.0,1.0,0.0,6.0,0.0
1935,4,23224,-179.7,-39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,5.65,6.37,5.65,2.0,1.48,20.0,1.0,-2.39,-2.12,-1.85,-2.12,2.0,0.56,20.0,1.0,4.57,5.24,5.9,5.24,2.0,1.38,20.0,1.0,1014.92,1015.4,1015.88,1015.4,2.0,0.99,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.7,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.8,2.35,1.8,2.0,1.13,18.0,0.0,-2.08,-0.95,0.18,-0.95,2.0,2.34,18.0,0.0,0.11,0.35,0.59,0.35,2.0,0.5,18.0,0.0,1009.6,1009.6,1009.6,1009.6,1.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,1.0,0.0,10.0,0.0,-1.8,-1.8,-1.8,-1.8,1.0,0.0,10.0,0.0,-4.23,-4.23,-4.23,-4.23,1.0,0.0,10.0,0.0,1022.8,1022.8,1022.8,1022.8,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,91.1,91.1,91.1,91.1,1.0,0.0,10.0,0.0,-8.3,-8.3,-8.3,-8.3,1.0,0.0,10.0,0.0,-19.5,-19.5,-19.5,-19.5,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.6,-35.6,-35.6,-35.6,1.0,0.0,10.0,0.0,-83.8,-83.8,-83.8,-83.8,1.0,0.0,10.0,0.0,-23.3,-23.3,-23.3,-23.3,1.0,0.0,10.0,0.0,-54.8,-54.8,-54.8,-54.8,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,-35.5,20.38,21.1,21.1,20.78,5.0,0.49,8.0,0.8,19.42,20.0,20.0,19.73,4.0,0.55,8.0,0.8,10.19,10.19,10.19,10.19,1.0,0.0,2.0,0.0,75.1,75.1,75.1,75.1,1.0,0.0,2.0,0.0,2.6,6.7,6.7,5.06,5.0,2.25,8.0,0.8,-2.62,-2.62,2.48,-0.57,5.0,2.81,8.0,0.8,-6.17,-6.17,0.36,-3.51,5.0,3.66,8.0,0.8,1017.07,1020.1,1021.45,1019.0,5.0,4.09,8.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.1,1.1,0.98,4.0,0.25,8.0,0.8,3.4,5.7,7.4,5.4,4.0,2.3,8.0,0.8,4.37,4.37,4.37,4.37,1.0,0.0,2.0,0.0,11.4,11.4,11.4,11.4,1.0,0.0,2.0,0.0,-52.4,-52.4,0.8,-27.0,4.0,50.7,8.0,0.8,-123.3,-123.3,-58.7,-92.5,4.0,61.7,8.0,0.8,26.5,26.5,26.5,26.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,-17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,6.7,6.7,5.86,5.0,1.15,14.0,0.4,-4.74,-4.74,-4.52,-4.65,5.0,0.12,14.0,0.4,-0.88,4.74,4.74,2.49,5.0,3.08,14.0,0.4,1010.16,1011.1,1012.68,1011.38,5.0,1.62,14.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,8.06,7.35,4.0,1.3,18.0,0.0,-8.06,-6.7,-6.42,-7.22,4.0,1.41,18.0,0.0,0.0,0.0,1.37,0.65,4.0,1.31,18.0,0.0,1018.83,1018.9,1019.24,1019.03,3.0,0.32,18.0,0.0,1.0,1.5,4.6,2.8,4.0,2.9,18.0,0.0,90.7,90.7,90.7,90.7,1.0,0.0,20.0,0.0,-66.7,-44.9,-43.0,-54.4,4.0,21.5,18.0,0.0,0.0,0.0,9.2,4.4,4.0,8.8,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.6,9.6,5.3,14.0,3.52,12.0,0.6,-2.37,0.0,3.11,0.11,14.0,3.19,12.0,0.6,-2.57,2.12,6.09,1.49,14.0,5.48,12.0,0.6,1011.94,1021.6,1023.44,1019.1,13.0,6.71,14.0,0.5,3.0,5.0,7.3,4.8,12.0,2.3,14.0,0.5,94.5,94.5,94.5,94.5,1.0,0.0,6.0,1.0,-7.8,0.0,14.2,0.0,14.0,24.1,12.0,0.6,-16.7,5.5,40.2,7.5,14.0,55.6,12.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.6,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,9.3,12.14,8.86,14.0,3.59,14.0,0.4,-1.61,2.51,9.01,3.05,14.0,6.82,14.0,0.4,-6.21,0.0,4.2,-1.12,14.0,6.28,14.0,0.4,998.1,1009.6,1015.3,1008.83,13.0,10.86,16.0,0.5,6.0,8.0,8.0,6.9,14.0,2.0,14.0,0.4,75.9,75.9,75.9,75.9,1.0,0.0,2.0,0.0,-7.4,15.9,83.3,38.0,14.0,93.6,14.0,0.4,-41.6,0.0,19.3,-11.1,14.0,59.5,14.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.5,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.5,7.5,4.8,4.0,3.2,6.0,0.8,75.1,75.1,75.1,75.1,1.0,0.0,2.0,0.0,-17.5,-17.5,6.4,-7.9,5.0,13.2,8.0,0.8,-41.3,-41.3,0.9,-24.3,5.0,23.3,8.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.5,-35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.4,11.4,11.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,17.5,301.0,301.0,187.5,5.0,155.0,8.0,0.8,20.0,300.0,300.0,185.0,5.0,155.0,8.0,0.8
1935,4,23224,-179.5,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,2.0,0.0,30.0,0.0,-4.6,-4.6,-4.6,-4.6,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,1007.64,1008.6,1009.56,1008.6,2.0,1.98,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,4,23224,-179.5,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.6,6.95,3.77,13.0,3.27,14.0,0.2,-3.57,-0.71,2.88,-0.63,13.0,4.31,14.0,0.2,-3.27,0.0,0.18,-0.34,13.0,2.64,14.0,0.2,1015.54,1022.6,1023.99,1021.16,14.0,4.22,12.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
