Year,Month,Running Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations
1922,5,23069,-179.7,-45.2,9.59,10.0,10.41,10.0,2.0,0.85,20.0,1.0,9.06,9.4,9.4,9.23,3.0,0.29,24.0,1.0,5.59,5.69,5.8,5.69,2.0,0.21,30.0,1.0,79.4,79.8,80.2,79.8,2.0,0.8,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.85,1.09,0.85,2.0,0.49,20.0,1.0,5.2,9.1,12.9,9.1,2.0,8.1,20.0,1.0,1.7,1.7,1.7,1.7,1.0,0.0,30.0,1.0,11.4,11.4,11.4,11.4,1.0,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.1,8.1,8.1,1.0,0.0,30.0,1.0,8.1,8.1,8.1,8.1,1.0,0.0,30.0,1.0,796.0,1861.0,3083.5,1938.0,3.0,1677.0,24.0,1.0,795.0,1860.0,3085.0,1940.0,3.0,1675.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,5,23069,-179.7,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,3.5,2.5,2.0,2.1,28.0,0.0,85.1,89.0,91.2,88.2,4.0,3.8,14.0,0.0,-14.3,-5.8,0.2,-7.0,4.0,10.7,14.0,0.0,0.0,2.4,4.8,2.4,4.0,2.8,14.0,0.0
1922,5,23069,-179.7,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.1,0.3,-0.1,2.0,0.7,4.0,1.0,0.2,0.4,0.6,0.4,2.0,0.4,4.0,1.0,17.0,804.5,3652.5,1696.5,7.0,1849.5,14.0,0.6,15.0,805.0,3650.0,1695.0,7.0,1850.0,14.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,5,23069,-179.6,-45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,12.3,14.42,11.47,3.0,4.41,24.0,1.0,4.76,4.81,11.27,7.94,3.0,5.49,24.0,1.0,5.06,5.77,9.56,7.28,3.0,3.54,24.0,1.0,1017.75,1019.15,1020.55,1019.15,2.0,2.9,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,45.2,106.0,73.9,3.0,52.3,24.0,1.0,46.0,54.2,89.9,67.6,3.0,34.2,24.0,1.0,35.3,54.8,74.4,54.8,2.0,40.4,30.0,1.0,27.4,30.0,32.5,30.0,2.0,5.3,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,8.0,8.0,7.7,3.0,0.6,24.0,1.0,79.4,79.8,80.2,79.8,2.0,0.8,30.0,1.0,40.4,59.1,168.9,103.6,3.0,101.7,24.0,1.0,49.9,88.8,123.3,86.6,3.0,53.8,24.0,1.0
1922,5,23069,-179.6,-17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,3.65,3.1,4.0,1.0,14.0,0.0,-3.65,-2.22,0.09,-1.8,4.0,2.69,14.0,0.0,0.0,0.92,1.84,0.92,4.0,1.06,14.0,0.0,1009.29,1011.35,1013.78,1011.53,4.0,2.61,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96.0,-59.3,0.7,-48.2,4.0,69.5,14.0,0.0,0.0,23.0,47.6,23.8,4.0,27.5,14.0,0.0,-70.1,-41.5,1.4,-34.7,4.0,50.8,14.0,0.0,0.0,16.6,33.3,16.7,4.0,19.2,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,5,23069,-179.6,-17.2,27.8,27.8,28.14,27.97,3.0,0.29,10.0,0.0,25.52,26.4,26.7,26.13,4.0,0.8,14.0,0.0,18.12,18.65,19.18,18.65,4.0,0.62,14.0,0.0,85.1,89.0,91.2,88.2,4.0,3.8,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.7,2.45,2.03,3.0,0.67,10.0,0.0,5.2,7.3,7.6,6.4,3.0,2.0,10.0,0.0,4.52,5.46,5.79,5.16,3.0,0.97,10.0,0.0,14.6,15.5,17.7,16.1,3.0,2.4,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3,-10.9,3.4,-6.5,3.0,14.9,10.0,0.0,3.2,10.0,10.6,7.0,3.0,6.1,10.0,0.0,17.5,17.5,59.5,37.5,4.0,40.0,14.0,0.0,20.0,20.0,60.0,40.0,4.0,40.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,5,23069,-179.6,46.2,4.68,5.0,5.6,5.1,7.0,0.52,14.0,0.6,3.98,5.6,6.13,5.24,7.0,1.15,14.0,0.6,5.11,5.22,5.33,5.22,2.0,0.22,4.0,1.0,91.6,92.3,93.0,92.3,2.0,1.4,4.0,1.0,2.52,9.3,15.4,9.1,7.0,6.42,14.0,0.6,-1.89,5.77,8.67,3.88,7.0,5.26,14.0,0.6,-14.28,-3.63,0.49,-5.86,7.0,7.24,14.0,0.6,1020.4,1027.1,1030.15,1024.25,6.0,9.39,14.0,0.7,-1.12,0.0,0.91,-0.14,7.0,0.98,14.0,0.6,-3.4,0.0,14.1,1.9,7.0,10.9,14.0,0.6,0.24,0.34,0.44,0.34,2.0,0.21,4.0,1.0,0.5,0.7,0.8,0.7,2.0,0.3,4.0,1.0,-12.6,20.2,49.9,17.5,7.0,28.1,14.0,0.6,-54.6,-21.1,2.9,-24.5,7.0,30.5,14.0,0.6,-12.6,-5.6,1.5,-5.6,2.0,14.6,4.0,1.0,4.5,10.3,16.2,10.3,2.0,12.2,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,6.0,8.0,6.4,7.0,1.4,14.0,0.6,91.6,92.3,93.0,92.3,2.0,1.4,4.0,1.0,-5.2,79.6,92.6,58.2,7.0,66.7,14.0,0.6,-219.9,-33.8,1.1,-89.9,7.0,107.7,14.0,0.6
1922,5,23069,-179.6,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-0.3,0.44,-0.42,9.0,0.82,20.0,0.6,-4.3,-1.4,4.1,-1.6,9.0,6.4,20.0,0.6,0.02,0.23,0.37,0.21,5.0,0.2,14.0,0.6,0.1,0.8,4.0,2.0,5.0,2.6,14.0,0.6,-42.0,-10.7,3.6,-10.6,9.0,35.1,20.0,0.6,-13.4,-8.1,12.6,-0.7,9.0,19.0,20.0,0.6,-55.1,-7.8,23.8,-11.8,5.0,47.7,14.0,0.6,-16.2,-9.0,9.9,-4.8,5.0,14.5,14.0,0.6,-1.3,0.0,2.2,0.6,5.0,3.2,14.0,0.6,-0.4,0.0,0.8,0.1,5.0,0.8,14.0,0.6,51.5,552.5,1861.0,1272.0,10.0,2087.0,20.0,0.5,50.0,555.0,1860.0,1270.0,10.0,2085.0,20.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,5,23069,-179.5,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,4.6,5.37,4.62,5.0,1.45,20.0,0.4,-5.17,-4.32,-3.35,-4.23,5.0,1.65,20.0,0.4,-1.57,0.8,2.1,0.39,5.0,1.87,20.0,0.4,1019.42,1022.5,1024.81,1022.0,5.0,4.31,20.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-105.3,-90.6,-69.4,-87.2,5.0,33.7,20.0,0.4,-32.7,16.0,43.9,7.9,5.0,39.0,20.0,0.4,-71.3,-59.9,-46.4,-58.7,5.0,22.8,20.0,0.4,-22.0,10.4,30.7,5.7,5.0,26.7,20.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,8.0,8.0,6.2,5.0,3.0,20.0,0.4,90.3,94.6,95.0,93.1,5.0,2.6,20.0,0.4,-28.6,-19.9,-14.2,-21.4,5.0,13.5,20.0,0.4,-7.2,3.7,8.9,1.9,5.0,9.5,20.0,0.4
1922,5,23069,-179.5,30.7,18.9,19.15,20.87,19.85,4.0,1.58,20.0,0.5,20.38,20.6,21.1,20.68,5.0,0.45,20.0,0.4,13.54,14.14,14.42,14.0,5.0,0.69,20.0,0.4,90.3,94.6,95.0,93.1,5.0,2.6,20.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-1.7,-0.23,-1.0,4.0,1.4,20.0,0.5,-9.7,-7.8,-2.2,-6.0,4.0,6.2,20.0,0.5,-0.69,-0.35,0.92,0.09,4.0,1.16,20.0,0.5,-4.0,-1.6,2.4,-0.8,4.0,4.1,20.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,1.5,3.7,1.1,4.0,3.3,20.0,0.5,-0.8,0.5,2.4,0.7,4.0,2.1,20.0,0.5,68.0,97.5,171.5,122.0,5.0,105.5,20.0,0.4,70.0,95.0,170.0,120.0,5.0,105.0,20.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
