Year,Month,Longitude,Latitude,Ss1,Ss3,Ss5,Sm,Sn,Ss,Sd,Sht,Sx,Sy,As1,As3,As5,Am,An,As,Ad,Aht,Ax,Ay,Qs1,Qs3,Qs5,Qm,Qn,Qs,Qd,Qht,Qx,Qy,Rs1,Rs3,Rs5,Rm,Rn,Rs,Rd,Rht,Ry,Ws1,Ws3,Ws5,Wm,Wn,Ws,Wd,Wht,Wx,Wy,Us1,Us3,Us5,Um,Un,Us,Ud,Uht,Ux,Uy,Vs1,Vs3,Vs5,Vm,Vn,Vs,Vd,Vht,Vx,Vy,Ps1,Ps3,Ps5,Pm,Pn,Ps,Pd,Pht,Px,Py,Cs1,Cs3,Cs5,Cm,Cn,Cs,Cd,Cht,Cx,Cy,Xs1,Xs3,Xs5,Xm,Xn,Xs,Xd,Xht,Xx,Xy,Ys1,Ys3,Ys5,Ym,Yn,Ys,Yd,Yht,Yx,Yy,Ds1,Ds3,Ds5,Dm,Dn,Ds,Dd,Dht,Dx,Dy,Es1,Es3,Es5,Em,En,Es,Ed,Eht,Ex,Ey,Fs1,Fs3,Fs5,Fm,Fn,Fs,Fd,Fht,Fx,Fy,Gs1,Gs3,Gs5,Gm,Gn,Gs,Gd,Ght,Gx,Gy,Is1,Is3,Is5,Im,In,Is,Id,Iht,Ix,Iy,Js1,Js3,Js5,Jm,Jn,Js,Jd,Jht,Jx,Jy,Ks1,Ks3,Ks5,Km,Kn,Ks,Kd,Kht,Kx,Ky,Ls1,Ls3,Ls5,Lm,Ln,Ls,Ld,Lht,Lx,Ly,Ms1,Ms3,Ms5,Mm,Mn,Ms,Md,Mht,Mx,My,Ns1,Ns3,Ns5,Nm,Nn,Ns,Nd,Nht,Nx,Ny,B1s1,B1s3,B1s5,B1m,B1n,B1s,B1d,B1ht,B1x,B1y,B2s1,B2s3,B2s5,B2m,B2n,B2s,B2d,B2ht,B2x,B2y
1915,8,0.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,19.0,1.0,0.0,22.0,1.0,1.0,0.0,7.12,7.12,7.12,7.12,1.0,0.0,22.0,1.0,1.0,0.0,-17.62,-17.62,-17.62,-17.62,1.0,0.0,22.0,1.0,1.0,0.0,1004.7,1004.7,1004.7,1004.7,1.0,0.0,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,8,0.0,-34.0,16.1,16.1,16.1,16.1,2.0,0.0,12.0,0.0,0.5,1.0,16.78,16.95,17.12,16.95,2.0,0.35,12.0,0.0,0.5,1.0,10.7,10.7,10.7,10.7,1.0,0.0,12.0,0.0,0.3,1.0,,,,,,,,,,2.6,2.6,2.6,2.6,2.0,0.0,12.0,0.0,0.5,1.0,-2.31,-2.12,-1.93,-2.12,2.0,0.39,12.0,0.0,0.5,1.0,-0.56,0.41,1.39,0.41,2.0,2.02,12.0,0.0,0.5,1.0,1027.5,1027.5,1027.5,1027.5,1.0,0.0,12.0,0.0,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,-0.85,-0.68,-0.85,2.0,0.35,12.0,0.0,0.5,1.0,-2.7,-2.2,-1.8,-2.2,2.0,0.9,12.0,0.0,0.5,1.0,0.49,0.49,0.49,0.49,1.0,0.0,12.0,0.0,0.3,1.0,1.3,1.3,1.3,1.3,1.0,0.0,12.0,0.0,0.3,1.0,-38.6,-35.8,-32.9,-35.8,2.0,5.9,12.0,0.0,0.5,1.0,-9.3,7.3,23.9,7.3,2.0,34.4,12.0,0.0,0.5,1.0,-19.7,-19.7,-19.7,-19.7,1.0,0.0,12.0,0.0,0.3,1.0,19.7,19.7,19.7,19.7,1.0,0.0,12.0,0.0,0.3,1.0,-0.9,-0.9,-0.9,-0.9,1.0,0.0,12.0,0.0,0.3,1.0,0.9,0.9,0.9,0.9,1.0,0.0,12.0,0.0,0.3,1.0,17.5,17.5,17.5,17.5,2.0,0.0,12.0,0.0,0.5,1.0,20.0,20.0,20.0,20.0,2.0,0.0,12.0,0.0,0.5,1.0
1915,8,0.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6,89.6,89.6,89.6,2.0,0.0,22.0,0.5,0.3,9.3,9.3,12.3,10.63,9.0,1.58,14.0,0.7,0.5,0.3,-8.7,-6.58,-6.58,-7.19,9.0,1.7,14.0,0.7,0.5,0.3,6.58,8.56,8.7,7.74,9.0,1.1,14.0,0.7,0.5,0.3,1021.9,1022.85,1023.8,1022.85,6.0,0.85,10.0,0.7,0.4,0.3,5.0,6.0,7.0,6.0,6.0,0.9,10.0,0.7,0.4,0.3,-107.0,-61.2,-61.2,-78.5,9.0,28.4,14.0,0.7,0.5,0.3,61.2,79.6,107.0,83.6,9.0,23.0,14.0,0.7,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,8,0.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,3.0,0.0,28.0,0.7,0.6,0.6,-3.25,-3.25,-3.25,-3.25,3.0,0.0,28.0,0.7,0.6,0.6,3.25,3.25,3.25,3.25,3.0,0.0,28.0,0.7,0.6,0.6,1016.33,1018.1,1018.17,1017.27,3.0,1.53,28.0,0.7,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,8,0.0,-16.0,17.39,17.8,18.14,17.77,3.0,0.55,24.0,1.0,0.3,0.5,17.9,19.4,19.4,18.67,3.0,1.27,24.0,1.0,0.3,0.5,11.35,11.82,12.3,11.82,2.0,0.99,24.0,1.0,0.3,0.7,81.7,85.0,88.4,85.0,2.0,6.9,24.0,1.0,0.7,5.35,6.95,8.55,6.95,2.0,3.32,24.0,1.0,0.2,0.5,-7.0,-5.48,-3.96,-5.48,2.0,3.15,24.0,1.0,0.2,0.5,3.56,4.23,4.89,4.23,2.0,1.38,24.0,1.0,0.2,0.5,1018.22,1018.9,1020.33,1019.27,3.0,1.58,24.0,1.0,0.3,0.5,5.0,7.0,7.7,6.3,3.0,2.1,24.0,1.0,0.3,0.5,-62.7,-43.3,-24.0,-43.3,2.0,40.1,24.0,1.0,0.2,0.5,20.3,31.7,43.1,31.7,2.0,23.6,24.0,1.0,0.2,0.5,-1.44,-1.1,-0.35,-0.9,3.0,0.82,24.0,1.0,0.3,0.5,-8.6,-5.1,-1.6,-5.1,2.0,7.2,24.0,1.0,0.2,0.5,0.64,0.96,1.29,0.96,2.0,0.67,24.0,1.0,0.3,0.7,4.5,4.5,4.5,4.5,1.0,0.0,22.0,1.0,0.1,0.7,-134.7,-102.8,-70.8,-102.8,2.0,66.2,24.0,1.0,0.2,0.5,63.1,78.4,93.8,78.4,2.0,31.8,24.0,1.0,0.2,0.5,-96.5,-96.5,-96.5,-96.5,1.0,0.0,22.0,1.0,0.1,0.7,65.1,65.1,65.1,65.1,1.0,0.0,22.0,1.0,0.1,0.7,-3.7,-3.7,-3.7,-3.7,1.0,0.0,22.0,1.0,0.1,0.7,2.5,2.5,2.5,2.5,1.0,0.0,22.0,1.0,0.1,0.7,209.5,451.0,692.0,451.0,2.0,500.0,24.0,1.0,0.2,0.5,210.0,450.0,690.0,450.0,2.0,500.0,24.0,1.0,0.2,0.5
1915,8,0.0,36.0,25.26,26.0,27.04,25.96,36.0,1.22,14.0,0.7,0.5,0.3,25.0,26.7,28.46,26.64,40.0,1.58,14.0,0.6,0.5,0.3,19.18,19.84,20.51,19.85,3.0,0.97,12.0,1.0,0.6,0.3,85.5,95.2,98.5,92.1,3.0,9.9,12.0,1.0,0.3,1.3,4.6,6.7,4.42,40.0,2.77,14.0,0.6,0.5,0.3,-6.61,-2.93,0.0,-3.35,40.0,3.64,14.0,0.6,0.5,0.3,-2.51,0.0,0.82,-0.53,40.0,1.62,14.0,0.6,0.5,0.3,1012.72,1014.9,1016.59,1014.91,39.0,2.49,14.0,0.7,0.5,0.3,0.0,2.0,3.6,2.1,35.0,1.9,14.0,0.6,0.5,0.3,-44.3,-10.9,0.0,-22.1,40.0,28.4,14.0,0.6,0.5,0.3,-16.8,0.0,2.1,-3.4,40.0,10.9,14.0,0.6,0.5,0.3,-2.29,-0.7,0.49,-0.78,36.0,1.37,14.0,0.7,0.5,0.3,-9.2,-1.7,0.8,-3.1,36.0,5.8,14.0,0.7,0.5,0.3,-2.1,-1.95,0.35,-0.9,3.0,2.01,12.0,1.0,0.6,0.3,-5.5,-5.1,2.8,-1.4,3.0,6.9,12.0,1.0,0.6,0.3,-166.0,-79.4,0.0,-86.0,40.0,96.4,14.0,0.6,0.5,0.3,-62.7,0.0,21.0,-13.7,40.0,42.6,14.0,0.6,0.5,0.3,-50.8,-49.1,45.0,-4.0,3.0,80.3,12.0,1.0,0.6,0.3,0.0,0.0,24.5,12.0,3.0,20.7,12.0,1.0,0.6,0.3,5.2,5.7,5.9,5.6,3.0,0.5,12.0,1.0,0.6,0.3,0.0,0.0,1.7,0.8,3.0,1.4,12.0,1.0,0.6,0.3,4.0,97.5,301.0,187.0,40.0,241.0,14.0,0.6,0.5,0.3,5.0,95.0,300.0,185.0,40.0,240.0,14.0,0.6,0.5,0.3
1915,8,0.0,38.0,23.61,25.6,27.15,25.26,27.0,2.15,14.0,0.8,0.4,0.5,24.83,26.0,27.36,25.9,29.0,1.48,14.0,0.8,0.4,0.5,15.35,19.18,19.62,17.59,5.0,3.0,14.0,1.0,0.3,0.4,75.6,84.3,93.1,83.3,5.0,13.6,14.0,1.0,0.4,1.0,2.6,4.6,3.17,28.0,1.79,16.0,0.8,0.5,0.5,-3.95,-1.78,0.64,-1.39,28.0,2.2,16.0,0.8,0.5,0.5,-0.84,0.71,3.95,1.11,28.0,2.35,16.0,0.8,0.5,0.5,1015.46,1019.65,1021.27,1018.71,28.0,2.98,14.0,0.8,0.5,0.5,0.0,1.0,2.0,1.3,28.0,1.3,14.0,0.8,0.5,0.5,-18.2,-4.8,1.7,-5.2,28.0,11.0,16.0,0.8,0.5,0.5,-1.9,0.7,18.2,5.6,28.0,12.2,16.0,0.8,0.5,0.5,-1.62,-0.3,0.59,-0.58,27.0,1.89,14.0,0.8,0.4,0.5,-4.4,-0.8,1.4,-1.8,26.0,7.4,16.0,0.8,0.5,0.5,1.42,2.24,5.65,3.27,5.0,2.38,14.0,1.0,0.3,0.4,5.5,7.1,12.5,8.9,4.0,5.1,16.0,1.0,0.4,0.4,-104.4,-43.9,16.3,-37.4,28.0,56.3,16.0,0.8,0.5,0.5,-21.8,17.7,99.2,27.6,28.0,60.5,16.0,0.8,0.5,0.5,-50.2,-34.5,2.8,-24.2,4.0,34.7,16.0,1.0,0.4,0.4,-38.3,0.0,12.2,-12.5,4.0,41.9,16.0,1.0,0.4,0.4,-5.6,-5.0,3.8,-1.1,4.0,8.4,16.0,1.0,0.4,0.4,-3.6,0.0,6.0,1.2,4.0,7.6,16.0,1.0,0.4,0.4,1.0,17.5,97.5,62.0,28.0,79.5,16.0,0.8,0.5,0.5,0.0,20.0,95.0,60.0,28.0,80.0,16.0,0.8,0.5,0.5
1915,8,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,84.6,84.6,84.6,1.0,0.0,8.0,1.0,0.4,1.0,1.0,3.46,2.2,3.0,2.08,12.0,0.7,0.9,0.3,-0.24,0.77,2.46,1.1,3.0,2.0,12.0,0.7,0.9,0.3,0.66,0.71,2.44,1.53,3.0,1.49,12.0,0.7,0.9,0.3,1018.36,1019.35,1020.34,1019.35,2.0,2.05,14.0,0.5,0.8,0.2,0.6,2.0,2.0,1.3,3.0,1.2,12.0,0.7,0.9,0.3,-0.2,0.8,10.5,5.0,3.0,8.7,12.0,0.7,0.9,0.3,0.7,0.7,10.4,5.4,3.0,8.2,12.0,0.7,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,8,0.0,50.0,13.32,15.6,17.16,15.49,33.0,1.83,14.0,0.4,0.4,0.4,13.9,16.1,18.49,16.21,188.0,2.41,14.0,0.7,0.6,0.9,9.48,10.98,12.67,11.04,178.0,1.67,16.0,0.7,0.6,0.9,93.6,95.3,100.0,95.9,178.0,5.2,16.0,0.7,0.9,1.0,1.0,2.6,2.04,73.0,2.0,16.0,0.8,0.6,0.9,-0.86,0.71,1.0,0.47,73.0,1.89,16.0,0.8,0.6,0.9,-1.84,-0.37,0.83,-0.39,73.0,2.07,16.0,0.8,0.6,0.9,1007.42,1013.1,1019.18,1012.57,204.0,6.33,14.0,0.6,0.6,0.9,2.0,4.0,6.0,4.0,13.0,1.8,14.0,0.8,0.5,0.5,-0.9,0.7,2.3,3.1,73.0,21.8,16.0,0.8,0.6,0.9,-4.8,-0.4,0.8,1.3,73.0,19.5,16.0,0.8,0.6,0.9,-2.2,-1.1,-0.63,-1.27,14.0,1.07,14.0,0.9,0.5,0.5,-11.5,-4.9,-2.4,-5.8,12.0,6.1,12.0,0.8,0.5,0.5,0.69,1.38,2.52,1.6,4.0,1.19,20.0,1.0,0.5,0.5,2.2,4.5,4.6,3.4,3.0,2.0,22.0,1.0,0.5,0.6,-14.2,11.1,20.9,7.5,73.0,33.3,16.0,0.8,0.6,0.9,-34.7,-6.7,14.5,-5.8,73.0,34.6,16.0,0.8,0.6,0.9,-12.3,5.7,11.7,1.4,64.0,14.4,16.0,0.8,0.6,0.9,-24.0,-5.8,0.0,-8.2,64.0,12.8,16.0,0.8,0.6,0.9,-4.3,-3.4,-1.9,-3.1,3.0,1.8,22.0,1.0,0.5,0.6,-2.0,0.0,0.0,-1.0,3.0,1.7,22.0,1.0,0.5,0.6,1.0,1.0,17.5,68.0,73.0,428.5,16.0,0.8,0.6,0.9,0.0,0.0,20.0,70.0,73.0,430.0,16.0,0.8,0.6,0.9
1915,8,0.0,52.0,15.79,16.7,17.42,16.52,5.0,1.37,26.0,0.6,0.7,0.5,15.02,16.1,17.5,16.26,5.0,1.78,26.0,0.6,0.7,0.5,10.46,10.87,11.24,10.85,4.0,0.5,26.0,0.5,0.7,0.4,89.1,94.1,94.7,92.0,4.0,4.8,26.0,0.5,0.4,2.02,2.6,5.05,3.62,5.0,3.25,26.0,0.6,0.7,0.5,-0.95,0.0,2.6,0.52,5.0,2.18,26.0,0.6,0.7,0.5,-4.03,0.0,0.0,-2.06,5.0,4.07,26.0,0.6,0.7,0.5,1020.33,1021.2,1021.31,1020.84,5.0,0.79,26.0,0.6,0.7,0.5,3.6,6.0,8.0,5.8,5.0,2.3,26.0,0.6,0.7,0.5,-2.5,0.0,6.8,1.4,5.0,5.7,26.0,0.6,0.7,0.5,-32.2,0.0,0.0,-17.5,5.0,38.6,26.0,0.6,0.7,0.5,-0.27,0.5,0.78,0.26,5.0,0.83,26.0,0.6,0.7,0.5,-0.7,1.6,2.2,0.8,5.0,2.2,26.0,0.6,0.7,0.5,1.02,1.09,1.32,1.17,4.0,0.22,26.0,0.5,0.7,0.4,1.8,2.8,3.4,2.6,4.0,1.2,26.0,0.5,0.7,0.4,-17.9,0.0,41.0,6.7,5.0,37.4,26.0,0.6,0.7,0.5,-58.2,0.0,0.0,-29.4,5.0,56.8,26.0,0.6,0.7,0.5,-15.5,13.3,27.3,6.2,4.0,27.1,26.0,0.5,0.7,0.4,-5.8,0.0,0.0,-2.8,4.0,5.5,26.0,0.5,0.7,0.4,-1.6,1.3,3.3,0.9,4.0,3.0,26.0,0.5,0.7,0.4,-0.5,0.0,0.0,-0.3,4.0,0.5,26.0,0.5,0.7,0.4,11.5,17.5,305.0,171.5,5.0,354.0,26.0,0.6,0.7,0.5,10.0,20.0,305.0,170.0,5.0,355.0,26.0,0.6,0.7,0.5
