Year,Month,Running Month,Longitude,Latitude,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,D=S-A-S1,D=S-A-Median,D=S-A-S5,D=S-A-Mean,D=S-A-Observation number,D=S-A-Standard deviation,D=S-A-Mean day of the month,D=S-A-Fraction of daylight observations,E=(S-A)*W-S1,E=(S-A)*W-Median,E=(S-A)*W-S5,E=(S-A)*W-Mean,E=(S-A)*W-Observation number,E=(S-A)*W-Standard deviation,E=(S-A)*W-Mean day of the month,E=(S-A)*W-Fraction of daylight observations,F=QS-Q-S1,F=QS-Q-Median,F=QS-Q-S5,F=QS-Q-Mean,F=QS-Q-Observation number,F=QS-Q-Standard deviation,F=QS-Q-Mean day of the month,F=QS-Q-Fraction of daylight observations,G=(QS-Q)*W-S1,G=(QS-Q)*W-Median,G=(QS-Q)*W-S5,G=(QS-Q)*W-Mean,G=(QS-Q)*W-Observation number,G=(QS-Q)*W-Standard deviation,G=(QS-Q)*W-Mean day of the month,G=(QS-Q)*W-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y
1912,11,22955,-177.2,42.1,3.9,6.7,15.1,9.43,3.0,8.53,10.0,1.0,2.76,4.74,14.47,8.53,3.0,9.19,10.0,1.0,-3.82,-1.84,-0.58,-2.19,3.0,2.39,10.0,1.0,1031.0,1031.0,1031.0,1031.0,2.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-177.1,-5.7,4.93,5.65,6.37,5.65,2.0,1.48,12.0,0.0,-1.69,0.32,2.32,0.32,2.0,4.15,12.0,0.0,-5.7,-4.71,-3.72,-4.71,2.0,2.06,12.0,0.0,1008.51,1010.25,1011.99,1010.25,2.0,3.61,12.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,12.0,0.0,87.3,87.3,87.3,87.3,1.0,0.0,14.0,0.0,-12.4,-1.3,9.8,-1.3,2.0,23.0,12.0,0.0,-37.1,-28.1,-19.1,-28.1,2.0,18.6,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.5,10.3,65.0,10.3,2.0,113.4,12.0,0.0,-152.9,-127.5,-102.2,-127.5,2.0,52.5,12.0,0.0,66.3,66.3,66.3,66.3,1.0,0.0,14.0,0.0,-66.3,-66.3,-66.3,-66.3,1.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-177.0,-11.5,6.7,6.7,6.7,6.7,1.0,0.0,12.0,0.0,-2.51,-2.51,-2.51,-2.51,1.0,0.0,12.0,0.0,6.21,6.21,6.21,6.21,1.0,0.0,12.0,0.0,1003.9,1003.9,1003.9,1003.9,1.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-175.5,48.8,7.04,12.3,12.3,9.73,3.0,4.45,18.0,0.7,6.81,11.56,11.56,9.24,3.0,4.02,18.0,0.7,1.34,4.21,4.21,2.8,3.0,2.43,18.0,0.7,991.84,993.0,1001.6,996.63,3.0,7.81,18.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-175.4,42.4,4.6,11.8,20.89,12.7,4.0,9.47,12.0,0.5,2.45,11.13,20.89,11.64,4.0,10.69,12.0,0.5,-3.78,-1.63,0.0,-1.88,4.0,2.21,12.0,0.5,1031.16,1031.5,1031.84,1031.5,2.0,0.71,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-175.4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,8.3,13.9,8.2,4.0,7.1,10.0,0.8,-12.1,-5.1,0.0,-6.0,4.0,7.1,10.0,0.8,301.0,301.0,1861.0,925.0,5.0,854.5,10.0,0.6,300.0,300.0,1860.0,925.0,5.0,855.0,10.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-175.3,50.0,6.7,6.7,12.3,8.94,5.0,3.07,10.0,0.6,1.45,4.31,12.3,6.24,5.0,5.74,10.0,0.6,-6.44,-5.13,0.0,-3.63,5.0,3.36,10.0,0.6,1000.24,1005.9,1006.26,1003.78,5.0,3.34,10.0,0.6,5.6,6.0,6.7,6.2,5.0,1.1,10.0,0.6,70.6,82.8,95.9,83.2,4.0,15.1,10.0,0.8,9.7,28.9,151.3,69.4,5.0,75.5,10.0,0.6,-43.2,-34.4,0.0,-24.3,5.0,22.5,10.0,0.6,1.1,1.7,3.58,2.24,5.0,1.32,10.0,0.6,9.9,13.5,31.9,20.0,5.0,14.0,10.0,0.6,1.12,1.41,1.87,1.49,4.0,0.53,10.0,0.8,10.9,13.2,15.4,13.1,4.0,2.7,10.0,0.8,3.0,7.6,50.9,24.4,5.0,29.6,10.0,0.6,-16.9,-5.6,0.0,-8.2,5.0,9.2,10.0,0.6,3.5,33.5,61.9,32.8,4.0,33.7,10.0,0.8,-21.3,-10.2,0.0,-10.6,4.0,12.3,10.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,5.0,6.7,5.34,5.0,1.42,10.0,0.6,1.8,3.3,4.14,3.1,5.0,1.67,10.0,0.6,3.27,4.08,5.04,4.15,4.0,1.02,10.0,0.8,70.6,82.8,95.9,83.2,4.0,15.1,10.0,0.8
1912,11,22955,-175.2,30.6,2.6,2.6,2.6,2.6,3.0,0.0,28.0,0.0,2.02,2.41,2.41,2.22,3.0,0.33,28.0,0.0,0.97,0.97,1.56,1.26,3.0,0.5,28.0,0.0,1015.18,1019.0,1019.0,1017.13,3.0,3.23,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,22955,-173.7,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,1.0,0.0,30.0,1.0,7.8,7.8,7.8,7.8,1.0,0.0,30.0,1.0,5.7,5.7,5.7,5.7,1.0,0.0,30.0,1.0,86.0,86.0,86.0,86.0,1.0,0.0,30.0,1.0
1912,11,22955,-173.5,50.1,6.7,15.4,19.0,13.36,5.0,6.25,8.0,0.2,5.57,15.4,19.0,12.8,5.0,7.04,8.0,0.2,-3.33,0.0,0.0,-1.48,5.0,2.27,8.0,0.2,995.3,1000.2,1009.45,1002.04,5.0,8.22,8.0,0.2,3.0,5.0,6.0,4.6,5.0,1.5,8.0,0.2,82.8,83.3,92.1,87.3,4.0,8.5,6.0,0.3,37.3,237.2,361.0,206.0,5.0,163.7,8.0,0.2,-22.3,0.0,0.0,-9.9,5.0,15.2,8.0,0.2,0.92,1.1,2.31,1.66,5.0,1.55,8.0,0.2,12.2,20.9,24.0,18.4,5.0,9.3,8.0,0.2,0.69,1.19,1.41,1.06,4.0,0.46,6.0,0.3,7.4,15.0,24.4,15.8,4.0,10.0,6.0,0.3,6.0,86.2,99.2,59.4,5.0,50.5,8.0,0.2,-4.1,0.0,0.0,-2.3,5.0,5.0,8.0,0.2,43.0,82.0,97.9,71.0,4.0,39.0,6.0,0.3,-9.8,0.0,0.0,-4.7,4.0,9.3,6.0,0.3,6.2,15.0,24.4,15.2,4.0,10.7,6.0,0.3,-2.6,0.0,0.0,-1.3,4.0,2.5,6.0,0.3,301.0,3652.5,6859.0,3594.5,5.0,3279.5,8.0,0.2,300.0,3650.0,6860.0,3595.0,5.0,3280.0,8.0,0.2,3.82,6.1,6.7,5.34,5.0,1.7,8.0,0.2,1.4,5.0,5.6,3.68,5.0,2.49,8.0,0.2,4.17,4.77,5.15,4.66,4.0,0.76,6.0,0.3,82.8,83.3,92.1,87.3,4.0,8.5,6.0,0.3
